Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Mortal Kombat,"Action,Adventure,Fantasy",6.0,2021,0,110.0,188147,https://www.imdb.com/title/tt0293429/reviews/?ref_=tt_ql_2
Wazir,"Action,Crime,Drama",7.1,2016,0,103.0,19816,https://www.imdb.com/title/tt0315642/reviews/?ref_=tt_ql_2
Fahrenheit 451,"Drama,Sci-Fi,Thriller",5.0,2018,0,100.0,22392,https://www.imdb.com/title/tt0360556/reviews/?ref_=tt_ql_2
