Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
The Power of the Dog,"Drama,Western",6.8,2021,0,126.0,191368
Shershaah,"Action,Biography,Drama",8.3,2021,0,135.0,128896
Lightyear,"Action,Adventure,Animation",6.1,2022,0,105.0,122171
Strange World,"Action,Adventure,Animation",5.7,2022,0,102.0,44880
Survive the Night,"Action,Drama,Thriller",4.0,2020,0,90.0,11908
Sightless,"Drama,Mystery,Thriller",5.5,2020,0,89.0,10261
Amsterdam,"Comedy,Drama,History",6.1,2022,0,134.0,90769
Force of Nature,"Action,Adventure,Crime",4.6,2020,0,91.0,13116
Chehre,"Drama,Mystery,Thriller",6.2,2021,0,139.0,27887
Shubh Mangal Zyada Saavdhan,"Comedy,Crime,Romance",5.8,2020,0,117.0,10413
Fatman,"Action,Adventure,Comedy",5.9,2020,0,100.0,29852
Becky,"Action,Crime,Drama",6.0,2020,0,93.0,24024
Schumacher,"Biography,Documentary,Sport",7.4,2021,0,112.0,24970
The Contractor,"Action,Drama,Thriller",5.8,2022,0,103.0,27836
Article 15,"Crime,Drama,Mystery",8.1,2019,0,130.0,36424
The Forever Purge,"Action,Crime,Horror",5.4,2021,0,103.0,42689
Censor,"Horror,Mystery",6.0,2021,0,84.0,19411
Finding 'Ohana,"Action,Adventure,Comedy",6.1,2021,0,123.0,11492
Bliss,"Drama,Romance,Sci-Fi",5.4,2021,0,103.0,19883
Gulabo Sitabo,"Comedy,Drama",6.3,2020,0,124.0,13438
Etharkkum Thunindhavan,"Action,Crime,Drama",6.5,2022,0,151.0,13387
Black Box,"Drama,Mystery,Thriller",7.2,2021,0,129.0,14169
Spiral,"Crime,Horror,Mystery",5.2,2021,0,93.0,67096
Armageddon Time,Drama,6.5,2022,0,114.0,14898
Cold Skin,"Action,Fantasy,Horror",6.0,2017,0,108.0,17815
Suspiria,"Drama,Fantasy,Horror",6.7,2018,0,152.0,90483
Four Good Days,Drama,6.6,2020,0,100.0,11821
Gunjan Saxena: The Kargil Girl,"Action,Biography,Drama",5.5,2020,0,112.0,35479
Laxmii,"Action,Comedy,Horror",2.5,2020,0,141.0,58622
After We Collided,"Drama,Romance",5.0,2020,0,105.0,37491
Infinity Pool,"Crime,Horror,Mystery",6.0,2023,0,117.0,52957
