Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Supernova,"Drama,Romance",6.9,2020,0,95.0,14054,https://www.imdb.com/title/tt11169050/reviews/?ref_=tt_ql_2
The Wild Pear Tree,Drama,8.0,2018,0,188.0,27400,https://www.imdb.com/title/tt6628102/reviews/?ref_=tt_ql_2
David Brent: Life on the Road,"Comedy,Music",6.3,2016,0,96.0,21976,https://www.imdb.com/title/tt3137630/reviews/?ref_=tt_ql_2
Inferno,"Action,Adventure,Crime",6.2,2016,0,121.0,188169,https://www.imdb.com/title/tt3062096/reviews/?ref_=tt_ql_2
Ma Rainey's Black Bottom,"Drama,Music",6.9,2020,0,94.0,57406,https://www.imdb.com/title/tt10514222/reviews/?ref_=tt_ql_2
The Wall,"Action,Drama,Thriller",6.2,2017,0,88.0,30343,
Florence Foster Jenkins,"Biography,Comedy,Drama",6.8,2016,0,111.0,59118,https://www.imdb.com/title/tt4136084/reviews/?ref_=tt_ql_2
The Beatles: Eight Days a Week - The Touring Years,"Documentary,History,Music",7.8,2016,0,106.0,13724,https://www.imdb.com/title/tt2531318/reviews/?ref_=tt_ql_2
Code 8,"Action,Crime,Drama",6.1,2019,0,98.0,44133,https://www.imdb.com/title/tt6259380/reviews/?ref_=tt_ql_2
Like Crazy,"Comedy,Drama",7.2,2016,0,116.0,10241,https://www.imdb.com/title/tt4621872/reviews/?ref_=tt_ql_2
Chandigarh Kare Aashiqui,"Comedy,Crime,Drama",6.8,2021,0,117.0,15175,https://www.imdb.com/title/tt12861850/reviews/?ref_=tt_ql_2
Revenge,"Action,Drama,Horror",6.4,2017,0,108.0,47650,https://www.imdb.com/title/tt6738136/reviews/?ref_=tt_ql_2
Wrath of Man,"Action,Crime,Thriller",7.1,2021,0,119.0,203106,https://www.imdb.com/title/tt11083552/reviews/?ref_=tt_ql_2
All of Us Strangers,"Drama,Fantasy,Romance",8.0,2023,0,105.0,12838,https://www.imdb.com/title/tt21192142/reviews/?ref_=tt_ql_2
Summer of 85,"Drama,Romance",6.9,2020,0,101.0,12971,https://www.imdb.com/title/tt10457128/reviews/?ref_=tt_ql_2
The Ballad of Buster Scruggs,"Comedy,Drama,Musical",7.2,2018,0,133.0,165505,https://www.imdb.com/title/tt6412452/reviews/?ref_=tt_ql_2
Pinocchio,"Adventure,Comedy,Drama",5.1,2022,0,105.0,41436,https://www.imdb.com/title/tt1488589/reviews/?ref_=tt_ql_2
The Matrix Resurrections,"Action,Sci-Fi",5.7,2021,0,148.0,275509,https://www.imdb.com/title/tt10838180/reviews/?ref_=tt_ql_2
A California Christmas,"Comedy,Drama,Romance",5.8,2020,0,106.0,11307,https://www.imdb.com/title/tt13055780/reviews/?ref_=tt_ql_2
You Are So Not Invited to My Bat Mitzvah,Comedy,6.0,2023,0,103.0,23007,https://www.imdb.com/title/tt21276878/reviews/?ref_=tt_ql_2
Brightburn,"Drama,Horror,Mystery",6.1,2019,0,90.0,106563,https://www.imdb.com/title/tt7752126/reviews/?ref_=tt_ql_2
The Souvenir,"Drama,Romance",6.4,2019,0,120.0,14256,https://www.imdb.com/title/tt6920356/reviews/?ref_=tt_ql_2
Your Name.,"Animation,Drama,Fantasy",8.4,2016,0,106.0,312156,https://www.imdb.com/title/tt5311514/reviews/?ref_=tt_ql_2
The Power of the Dog,"Drama,Western",6.8,2021,0,126.0,191368,https://www.imdb.com/title/tt10293406/reviews/?ref_=tt_ql_2
Manchester by the Sea,Drama,7.8,2016,0,137.0,308492,https://www.imdb.com/title/tt4034228/reviews/?ref_=tt_ql_2
The Weekend Away,"Crime,Drama,Mystery",5.7,2022,0,89.0,29214,https://www.imdb.com/title/tt14817272/reviews/?ref_=tt_ql_2
First Man,"Biography,Drama,History",7.3,2018,0,141.0,200364,https://www.imdb.com/title/tt1213641/reviews/?ref_=tt_ql_2
The Girl with All the Gifts,"Action,Adventure,Drama",6.6,2016,0,111.0,63916,https://www.imdb.com/title/tt4547056/reviews/?ref_=tt_ql_2
BlacKkKlansman,"Biography,Comedy,Crime",7.5,2018,0,135.0,288134,https://www.imdb.com/title/tt7349662/reviews/?ref_=tt_ql_2
The Wandering Earth,"Action,Adventure,Sci-Fi",5.9,2019,0,125.0,35752,https://www.imdb.com/title/tt7605074/reviews/?ref_=tt_ql_2
Knights of the Zodiac,"Action,Adventure,Drama",4.4,2023,0,112.0,12001,https://www.imdb.com/title/tt6528290/reviews/?ref_=tt_ql_2
Pieces of a Woman,Drama,7.0,2020,0,126.0,55600,https://www.imdb.com/title/tt11161474/reviews/?ref_=tt_ql_2
Our Father,"Crime,Documentary",6.6,2022,0,97.0,14267,https://www.imdb.com/title/tt19704638/reviews/?ref_=tt_ql_2
Queenpins,"Comedy,Crime",6.4,2021,0,110.0,21153,https://www.imdb.com/title/tt9054192/reviews/?ref_=tt_ql_2
Chip 'n Dale: Rescue Rangers,"Action,Adventure,Animation",7.0,2022,0,97.0,46337,
Don't Breathe,"Crime,Horror,Thriller",7.1,2016,0,88.0,297022,https://www.imdb.com/title/tt4160708/reviews/?ref_=tt_ql_2
The Quiet Girl,Drama,7.7,2022,0,95.0,20885,https://www.imdb.com/title/tt15109082/reviews/?ref_=tt_ql_2
Nefarious,"Horror,Thriller",6.4,2023,0,97.0,24291,https://www.imdb.com/title/tt14537248/reviews/?ref_=tt_ql_2
The Good Boss,"Comedy,Drama",7.1,2021,0,116.0,12788,https://www.imdb.com/title/tt13066182/reviews/?ref_=tt_ql_2
Redeeming Love,"Drama,Romance",6.7,2022,0,134.0,12690,https://www.imdb.com/title/tt11365186/reviews/?ref_=tt_ql_2
The Invisible Guest,"Crime,Drama,Mystery",8.0,2016,0,106.0,190439,https://www.imdb.com/title/tt4857264/reviews/?ref_=tt_ql_2
El Angel,"Biography,Crime,Drama",6.9,2018,0,118.0,11456,https://www.imdb.com/title/tt7204348/reviews/?ref_=tt_ql_2
Storks,"Adventure,Animation,Comedy",6.8,2016,0,87.0,66794,https://www.imdb.com/title/tt4624424/reviews/?ref_=tt_ql_2
Meet Cute,"Comedy,Drama,Fantasy",5.7,2022,0,89.0,11523,https://www.imdb.com/title/tt14900738/reviews/?ref_=tt_ql_2
Studio 666,"Comedy,Horror,Music",5.7,2022,0,106.0,13631,https://www.imdb.com/title/tt15374070/reviews/?ref_=tt_ql_2
Arctic,"Adventure,Drama",6.8,2018,0,98.0,57825,https://www.imdb.com/title/tt6820256/reviews/?ref_=tt_ql_2
Laxmii,"Action,Comedy,Horror",2.5,2020,0,141.0,58622,https://www.imdb.com/title/tt10350922/reviews/?ref_=tt_ql_2
Totally Killer,"Comedy,Horror",6.5,2023,0,106.0,46579,https://www.imdb.com/title/tt11426232/reviews/?ref_=tt_ql_2
IO,"Adventure,Drama,Sci-Fi",4.8,2019,0,96.0,36137,https://www.imdb.com/title/tt3256226/reviews/?ref_=tt_ql_2
Hangman,"Crime,Drama,Horror",5.2,2017,0,98.0,18810,https://www.imdb.com/title/tt3011960/reviews/?ref_=tt_ql_2
