Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Sharper,"Crime,Drama,Thriller",6.7,2023,0,116.0,29167,https://www.imdb.com/title/tt12573454/reviews/?ref_=tt_ql_2
Never Rarely Sometimes Always,Drama,7.4,2020,0,101.0,30830,
Kabali,"Action,Crime,Drama",6.1,2016,0,153.0,14096,https://www.imdb.com/title/tt5071886/reviews/?ref_=tt_ql_2
Happy as Lazzaro,"Drama,Fantasy,Mystery",7.5,2018,0,128.0,20192,https://www.imdb.com/title/tt6752992/reviews/?ref_=tt_ql_2
Unlocked,"Action,Thriller",6.3,2017,0,98.0,38326,https://www.imdb.com/title/tt1734493/reviews/?ref_=tt_ql_2
Thanksgiving,"Horror,Mystery,Thriller",6.4,2023,0,106.0,33803,https://www.imdb.com/title/tt1448754/reviews/?ref_=tt_ql_2
The Last Kingdom: Seven Kings Must Die,"Action,Drama,History",6.9,2023,0,111.0,34391,https://www.imdb.com/title/tt15767808/reviews/?ref_=tt_ql_2
Knock at the Cabin,"Horror,Mystery,Thriller",6.1,2023,0,100.0,111402,https://www.imdb.com/title/tt15679400/reviews/?ref_=tt_ql_2
The Boss Baby,"Adventure,Animation,Comedy",6.3,2017,0,97.0,139371,
The Meyerowitz Stories,"Comedy,Drama",6.9,2017,0,112.0,53677,https://www.imdb.com/title/tt5536736/reviews/?ref_=tt_ql_2
In a Valley of Violence,"Action,Western",6.1,2016,0,104.0,20653,https://www.imdb.com/title/tt3608930/reviews/?ref_=tt_ql_2
"Quo Vadis, Aida?","Drama,History,War",8.0,2020,0,101.0,37639,https://www.imdb.com/title/tt8633462/reviews/?ref_=tt_ql_2
Nightbooks,"Family,Fantasy,Horror",5.8,2021,0,103.0,10385,https://www.imdb.com/title/tt10521144/reviews/?ref_=tt_ql_2
Resident Evil: Welcome to Raccoon City,"Action,Horror,Sci-Fi",5.2,2021,0,107.0,62811,https://www.imdb.com/title/tt6920084/reviews/?ref_=tt_ql_2
The Out-Laws,"Action,Comedy,Crime",5.4,2023,0,95.0,34387,https://www.imdb.com/title/tt11274492/reviews/?ref_=tt_ql_2
Free Guy,"Action,Adventure,Comedy",7.1,2021,0,115.0,416972,https://www.imdb.com/title/tt6264654/reviews/?ref_=tt_ql_2
Down a Dark Hall,"Drama,Fantasy,Horror",5.0,2018,0,96.0,14827,https://www.imdb.com/title/tt2372251/reviews/?ref_=tt_ql_2
Moana,"Adventure,Animation,Comedy",7.6,2016,0,107.0,371670,https://www.imdb.com/title/tt3521164/reviews/?ref_=tt_ql_2
Clifford the Big Red Dog,"Adventure,Comedy,Family",5.9,2021,0,96.0,16792,https://www.imdb.com/title/tt2397461/reviews/?ref_=tt_ql_2
Table 19,"Comedy,Drama,Romance",5.8,2017,0,87.0,30797,
The Lodge,"Drama,Horror,Mystery",6.0,2019,0,108.0,56903,https://www.imdb.com/title/tt7347846/reviews/?ref_=tt_ql_2
Cadaver,"Drama,Horror,Thriller",5.2,2020,0,86.0,12116,https://www.imdb.com/title/tt11284280/reviews/?ref_=tt_ql_2
Loving Pablo,"Biography,Crime,Drama",6.3,2017,0,123.0,22178,https://www.imdb.com/title/tt4682788/reviews/?ref_=tt_ql_2
Hamilton,"Biography,Drama,History",8.3,2020,0,160.0,110831,https://www.imdb.com/title/tt8503618/reviews/?ref_=tt_ql_2
Pete's Dragon,"Action,Adventure,Comedy",6.7,2016,0,102.0,61319,https://www.imdb.com/title/tt2788732/reviews/?ref_=tt_ql_2
Countdown,"Horror,Thriller",5.4,2019,0,90.0,44562,https://www.imdb.com/title/tt10039344/reviews/?ref_=tt_ql_2
Nocturne,"Drama,Horror,Music",5.7,2020,0,90.0,11329,https://www.imdb.com/title/tt11044858/reviews/?ref_=tt_ql_2
Long Shot,"Comedy,Romance",6.8,2019,0,125.0,120540,https://www.imdb.com/title/tt2139881/reviews/?ref_=tt_ql_2
El Camino: A Breaking Bad Movie,"Action,Crime,Drama",7.3,2019,0,122.0,286401,https://www.imdb.com/title/tt9243946/reviews/?ref_=tt_ql_2
Tallulah,"Comedy,Drama,Romance",6.7,2016,0,111.0,21346,
At the End of the Tunnel,"Crime,Drama,Thriller",7.0,2016,0,120.0,15508,https://www.imdb.com/title/tt6482598/reviews/?ref_=tt_ql_2
Pitch Perfect 3,"Comedy,Music",5.8,2017,0,93.0,71007,https://www.imdb.com/title/tt4765284/reviews/?ref_=tt_ql_2
Won't You Be My Neighbor?,"Biography,Documentary,History",8.3,2018,0,95.0,26935,https://www.imdb.com/title/tt7681902/reviews/?ref_=tt_ql_2
Tall Girl,"Comedy,Drama,Family",5.2,2019,0,101.0,26487,https://www.imdb.com/title/tt9252508/reviews/?ref_=tt_ql_2
Kaiva,"Action,Drama,Romance",7.3,2023,0,138.0,39088,https://www.imdb.com/title/tt27719898/reviews/?ref_=tt_ql_2
The Spy Who Dumped Me,"Action,Adventure,Comedy",6.0,2018,0,117.0,82443,https://www.imdb.com/title/tt6663582/reviews/?ref_=tt_ql_2
The Possession of Hannah Grace,"Horror,Mystery,Thriller",5.2,2018,0,86.0,25444,https://www.imdb.com/title/tt5734576/reviews/?ref_=tt_ql_2
