Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Prey,"Action,Adventure,Drama",7.1,2022,0,100.0,222499,https://www.imdb.com/title/tt11866324/reviews/?ref_=tt_ql_2
The Bye Bye Man,"Drama,Fantasy,Horror",4.3,2017,0,96.0,25774,https://www.imdb.com/title/tt4030600/reviews/?ref_=tt_ql_2
Fyre,"Crime,Documentary,Music",7.2,2019,0,97.0,51546,https://www.imdb.com/title/tt9412098/reviews/?ref_=tt_ql_2
Escape Room,"Action,Adventure,Horror",6.4,2019,0,99.0,139759,https://www.imdb.com/title/tt5886046/reviews/?ref_=tt_ql_2
Salaar,"Action,Crime,Drama",6.5,2023,0,175.0,57702,https://www.imdb.com/title/tt13927994/reviews/?ref_=tt_ql_2
The Dark Tower,"Action,Adventure,Fantasy",5.6,2017,0,95.0,144906,https://www.imdb.com/title/tt1648190/reviews/?ref_=tt_ql_2
Don't Knock Twice,"Drama,Fantasy,Horror",5.1,2016,0,93.0,14807,https://www.imdb.com/title/tt3622110/reviews/?ref_=tt_ql_2
Life Itself,"Drama,Romance",6.9,2018,0,117.0,24322,https://www.imdb.com/title/tt5989218/reviews/?ref_=tt_ql_2
The House,"Comedy,Crime",5.6,2017,0,88.0,46697,
Sick,"Horror,Thriller",6.0,2022,0,83.0,19059,https://www.imdb.com/title/tt14642626/reviews/?ref_=tt_ql_2
Outside the Wire,"Action,Adventure,Fantasy",5.4,2021,0,114.0,45140,https://www.imdb.com/title/tt10451914/reviews/?ref_=tt_ql_2
May December,"Comedy,Drama",6.9,2023,0,117.0,40629,https://www.imdb.com/title/tt13651794/reviews/?ref_=tt_ql_2
The Grinch,"Animation,Comedy,Family",6.4,2018,0,85.0,90083,https://www.imdb.com/title/tt2709692/reviews/?ref_=tt_ql_2
Etharkkum Thunindhavan,"Action,Crime,Drama",6.5,2022,0,151.0,13387,https://www.imdb.com/title/tt10340562/reviews/?ref_=tt_ql_2
The Lost Daughter,Drama,6.7,2021,0,121.0,73852,https://www.imdb.com/title/tt9100054/reviews/?ref_=tt_ql_2
John Wick: Chapter 3 - Parabellum,"Action,Crime,Thriller",7.4,2019,0,130.0,419504,https://www.imdb.com/title/tt6146586/reviews/?ref_=tt_ql_2
Senior Year,"Comedy,Drama",5.5,2022,0,111.0,43050,https://www.imdb.com/title/tt5315212/reviews/?ref_=tt_ql_2
Mine,"Drama,Fantasy,Thriller",5.8,2016,0,106.0,21089,https://www.imdb.com/title/tt3707104/reviews/?ref_=tt_ql_2
The 9th Life of Louis Drax,"Drama,Mystery,Thriller",6.3,2016,0,108.0,15121,https://www.imdb.com/title/tt3991412/reviews/?ref_=tt_ql_2
Shut In,"Drama,Horror,Mystery",4.8,2016,0,91.0,14645,https://www.imdb.com/title/tt2582500/reviews/?ref_=tt_ql_2
The Kitchen,"Action,Crime,Drama",5.6,2019,0,102.0,22778,https://www.imdb.com/title/tt5822564/reviews/?ref_=tt_ql_2
Isn't It Romantic,"Comedy,Fantasy,Musical",5.9,2019,0,89.0,73297,https://www.imdb.com/title/tt2452244/reviews/?ref_=tt_ql_2
Criminal,"Action,Sci-Fi,Thriller",6.3,2016,0,113.0,69858,
The Royal Treatment,"Comedy,Family,Romance",5.2,2022,0,96.0,11254,https://www.imdb.com/title/tt13989030/reviews/?ref_=tt_ql_2
Waiting for the Barbarians,"Drama,History",5.9,2019,0,112.0,14384,https://www.imdb.com/title/tt6149154/reviews/?ref_=tt_ql_2
Captain Underpants: The First Epic Movie,"Action,Adventure,Animation",6.2,2017,0,89.0,31912,https://www.imdb.com/title/tt2091256/reviews/?ref_=tt_ql_2
Overboard,"Comedy,Romance",6.0,2018,0,112.0,40921,https://www.imdb.com/title/tt1563742/reviews/?ref_=tt_ql_2
Loving Vincent,"Animation,Drama,Mystery",7.8,2017,0,94.0,62791,https://www.imdb.com/title/tt3262342/reviews/?ref_=tt_ql_2
Gretel & Hansel,"Fantasy,Horror,Mystery",5.5,2020,0,87.0,33645,https://www.imdb.com/title/tt9086228/reviews/?ref_=tt_ql_2
Sand Castle,"Action,Drama,War",6.3,2017,0,113.0,26841,https://www.imdb.com/title/tt2582576/reviews/?ref_=tt_ql_2
Song to Song,"Drama,Music,Romance",5.6,2017,0,129.0,22322,https://www.imdb.com/title/tt2062700/reviews/?ref_=tt_ql_2
Swiped,"Comedy,Romance",2.8,2018,0,93.0,12757,https://www.imdb.com/title/tt4867110/reviews/?ref_=tt_ql_2
The Night Eats the World,"Drama,Horror,Thriller",6.0,2018,0,93.0,15560,https://www.imdb.com/title/tt4266076/reviews/?ref_=tt_ql_2
Tag,"Action,Comedy",6.5,2018,0,100.0,145266,https://www.imdb.com/title/tt2854926/reviews/?ref_=tt_ql_2
Expend4bles,"Action,Adventure,Thriller",4.8,2023,0,103.0,32322,https://www.imdb.com/title/tt3291150/reviews/?ref_=tt_ql_2
The Wife,Drama,7.2,2017,0,99.0,42631,https://www.imdb.com/title/tt3750872/reviews/?ref_=tt_ql_2
Pet Sematary: Bloodlines,"Fantasy,Horror",4.6,2023,0,87.0,10077,https://www.imdb.com/title/tt14145436/reviews/?ref_=tt_ql_2
Uruttu Tech,Comedy,9.5,2023,0,66.0,10544,https://www.imdb.com/title/tt28145495/reviews/?ref_=tt_ql_2
Malignant,"Crime,Horror,Mystery",6.2,2021,0,111.0,107125,https://www.imdb.com/title/tt3811906/reviews/?ref_=tt_ql_2
Barbarian,"Horror,Mystery,Thriller",7.0,2022,0,102.0,174375,https://www.imdb.com/title/tt15791034/reviews/?ref_=tt_ql_2
The Unbearable Weight of Massive Talent,"Action,Comedy,Crime",7.0,2022,0,107.0,145507,https://www.imdb.com/title/tt11291274/reviews/?ref_=tt_ql_2
Logan,"Action,Drama,Sci-Fi",8.1,2017,0,137.0,819954,https://www.imdb.com/title/tt3315342/reviews/?ref_=tt_ql_2
Denial,"Biography,Drama",6.8,2016,0,109.0,23304,https://www.imdb.com/title/tt4645330/reviews/?ref_=tt_ql_2
Bliss,"Drama,Romance,Sci-Fi",5.4,2021,0,103.0,19883,https://www.imdb.com/title/tt10333426/reviews/?ref_=tt_ql_2
Jujutsu Kaisen 0,"Action,Animation,Fantasy",7.8,2021,0,105.0,34926,https://www.imdb.com/title/tt14331144/reviews/?ref_=tt_ql_2
After Ever Happy,"Drama,Romance",4.6,2022,0,95.0,10548,https://www.imdb.com/title/tt13070038/reviews/?ref_=tt_ql_2
A Family Man,Drama,6.5,2016,0,108.0,13433,https://www.imdb.com/title/tt1718924/reviews/?ref_=tt_ql_2
Kimi,"Crime,Drama,Mystery",6.3,2022,0,89.0,38247,https://www.imdb.com/title/tt14128670/reviews/?ref_=tt_ql_2
The Snowman,"Crime,Drama,Mystery",5.2,2017,0,119.0,71032,https://www.imdb.com/title/tt1758810/reviews/?ref_=tt_ql_2
Suburbicon,"Comedy,Crime,Drama",5.8,2017,0,105.0,46933,https://www.imdb.com/title/tt0491175/reviews/?ref_=tt_ql_2
