Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
I Kill Giants,"Drama,Fantasy,Thriller",6.1,2017,0,106.0,32840,https://www.imdb.com/title/tt4547194/reviews/?ref_=tt_ql_2
Whiskey Tango Foxtrot,"Biography,Comedy,Drama",6.6,2016,0,112.0,55860,https://www.imdb.com/title/tt3553442/reviews/?ref_=tt_ql_2
Dunki,"Comedy,Drama",7.2,2023,0,160.0,62137,https://www.imdb.com/title/tt15428134/reviews/?ref_=tt_ql_2
When We First Met,"Comedy,Fantasy,Romance",6.4,2018,0,97.0,53509,https://www.imdb.com/title/tt5783956/reviews/?ref_=tt_ql_2
The Edge of Democracy,"Documentary,History",7.3,2019,0,121.0,15646,https://www.imdb.com/title/tt6016744/reviews/?ref_=tt_ql_2
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",7.2,2016,0,132.0,503496,https://www.imdb.com/title/tt3183660/reviews/?ref_=tt_ql_2
Knives Out,"Comedy,Crime,Drama",7.9,2019,0,130.0,762189,https://www.imdb.com/title/tt8946378/reviews/?ref_=tt_ql_2
Trapped,"Drama,Thriller",7.5,2016,0,105.0,13570,https://www.imdb.com/title/tt6206564/reviews/?ref_=tt_ql_2
Newness,"Drama,Romance",6.3,2017,0,117.0,17855,https://www.imdb.com/title/tt6408226/reviews/?ref_=tt_ql_2
No Sudden Move,"Crime,Drama,Mystery",6.4,2021,0,115.0,40531,https://www.imdb.com/title/tt11525644/reviews/?ref_=tt_ql_2
Mortal Kombat Legends: Scorpion's Revenge,"Action,Adventure,Animation",7.4,2020,0,80.0,19355,https://www.imdb.com/title/tt9580138/reviews/?ref_=tt_ql_2
Detroit,"Crime,Drama,History",7.3,2017,0,143.0,55639,https://www.imdb.com/title/tt5390504/reviews/?ref_=tt_ql_2
The Bob's Burgers Movie,"Adventure,Animation,Comedy",7.0,2022,0,102.0,20969,
Speak No Evil,"Drama,Horror,Thriller",6.6,2022,0,97.0,35497,https://www.imdb.com/title/tt14253846/reviews/?ref_=tt_ql_2
Fifty Shades of Black,Comedy,3.5,2016,0,92.0,23048,https://www.imdb.com/title/tt4667094/reviews/?ref_=tt_ql_2
Zola,"Comedy,Crime,Drama",6.5,2020,0,86.0,17029,https://www.imdb.com/title/tt5439812/reviews/?ref_=tt_ql_2
Wonder,"Drama,Family",7.9,2017,0,113.0,176562,https://www.imdb.com/title/tt2543472/reviews/?ref_=tt_ql_2
The Aeronauts,"Action,Adventure,Drama",6.6,2019,0,100.0,36956,https://www.imdb.com/title/tt6141246/reviews/?ref_=tt_ql_2
Onward,"Action,Adventure,Animation",7.4,2020,0,102.0,167294,https://www.imdb.com/title/tt7146812/reviews/?ref_=tt_ql_2
You Get Me,"Crime,Drama,Mystery",4.7,2017,0,89.0,14266,https://www.imdb.com/title/tt5539054/reviews/?ref_=tt_ql_2
Goodnight Mommy,"Crime,Drama,Horror",5.7,2022,0,92.0,14215,https://www.imdb.com/title/tt9000184/reviews/?ref_=tt_ql_2
No Time to Die,"Action,Adventure,Thriller",7.3,2021,0,163.0,439454,https://www.imdb.com/title/tt2382320/reviews/?ref_=tt_ql_2
Purple Hearts,"Drama,Music,Romance",6.7,2022,0,122.0,49698,https://www.imdb.com/title/tt4614584/reviews/?ref_=tt_ql_2
Close,Drama,7.8,2022,0,104.0,32563,https://www.imdb.com/title/tt9660502/reviews/?ref_=tt_ql_2
Amanda Knox,"Crime,Documentary",6.9,2016,0,92.0,25947,https://www.imdb.com/title/tt5952332/reviews/?ref_=tt_ql_2
Father Figures,"Comedy,Drama",5.5,2017,0,113.0,21106,https://www.imdb.com/title/tt1966359/reviews/?ref_=tt_ql_2
La belle époque,"Comedy,Drama,Fantasy",7.4,2019,0,115.0,19236,https://www.imdb.com/title/tt9172422/reviews/?ref_=tt_ql_2
Napoleon,"Action,Adventure,Biography",6.4,2023,0,158.0,104855,https://www.imdb.com/title/tt13287846/reviews/?ref_=tt_ql_2
Mamma Mia! Here We Go Again,"Comedy,Musical,Romance",6.6,2018,0,114.0,107140,https://www.imdb.com/title/tt6911608/reviews/?ref_=tt_ql_2
12th Fail,"Biography,Drama",9.2,2023,0,147.0,94207,https://www.imdb.com/title/tt23849204/reviews/?ref_=tt_ql_2
Polar,"Action,Thriller",6.3,2019,0,118.0,97994,https://www.imdb.com/title/tt4139588/reviews/?ref_=tt_ql_2
SAS: Red Notice,"Action,Thriller",5.3,2021,0,124.0,21018,https://www.imdb.com/title/tt4479380/reviews/?ref_=tt_ql_2
Beast,"Action,Comedy,Thriller",5.2,2022,0,155.0,36150,https://www.imdb.com/title/tt13223398/reviews/?ref_=tt_ql_2
Yes Day,"Comedy,Family",5.7,2021,0,86.0,29449,https://www.imdb.com/title/tt8521876/reviews/?ref_=tt_ql_2
Ready or Not,"Action,Comedy,Horror",6.9,2019,0,95.0,178509,
You Should Have Left,"Horror,Mystery,Thriller",5.4,2020,0,93.0,25280,https://www.imdb.com/title/tt8201852/reviews/?ref_=tt_ql_2
Mother's Day,"Comedy,Drama,Romance",5.6,2016,0,118.0,39487,https://www.imdb.com/title/tt4824302/reviews/?ref_=tt_ql_2
Orphan: First Kill,"Crime,Drama,Horror",5.9,2022,0,99.0,45079,https://www.imdb.com/title/tt11851548/reviews/?ref_=tt_ql_2
Over the Moon,"Adventure,Animation,Comedy",6.3,2020,0,95.0,24713,https://www.imdb.com/title/tt7488208/reviews/?ref_=tt_ql_2
The Take,"Action,Adventure,Crime",6.3,2016,0,92.0,50489,
The Edge of Seventeen,"Comedy,Drama",7.3,2016,0,104.0,138865,https://www.imdb.com/title/tt1878870/reviews/?ref_=tt_ql_2
The Bad Batch,"Action,Horror,Mystery",5.2,2016,0,118.0,35128,https://www.imdb.com/title/tt4334266/reviews/?ref_=tt_ql_2
The Angry Birds Movie 2,"Action,Adventure,Animation",6.4,2019,0,97.0,34445,https://www.imdb.com/title/tt6095472/reviews/?ref_=tt_ql_2
Deadpool 2,"Action,Adventure,Comedy",7.6,2018,0,119.0,634386,https://www.imdb.com/title/tt5463162/reviews/?ref_=tt_ql_2
The Salesman,"Drama,Thriller",7.7,2016,0,124.0,64151,https://www.imdb.com/title/tt5186714/reviews/?ref_=tt_ql_2
Roohi,"Comedy,Horror",4.3,2021,0,134.0,10804,https://www.imdb.com/title/tt10098288/reviews/?ref_=tt_ql_2
Captain America: Civil War,"Action,Sci-Fi",7.8,2016,0,147.0,841490,https://www.imdb.com/title/tt3498820/reviews/?ref_=tt_ql_2
Jungle,"Action,Adventure,Biography",6.7,2017,0,115.0,62644,https://www.imdb.com/title/tt3758172/reviews/?ref_=tt_ql_2
Haunt,"Horror,Thriller",6.3,2019,0,92.0,35996,https://www.imdb.com/title/tt6535880/reviews/?ref_=tt_ql_2
Ratchet & Clank,"Action,Adventure,Animation",5.5,2016,0,94.0,11713,https://www.imdb.com/title/tt2865120/reviews/?ref_=tt_ql_2
