Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Master,"Action,Crime,Thriller",7.4,2021,0,179.0,82872,
Underwater,"Action,Horror,Sci-Fi",5.9,2020,0,95.0,95440,https://www.imdb.com/title/tt5774060/reviews/?ref_=tt_ql_2
A Hidden Life,"Biography,Drama,Romance",7.4,2019,0,174.0,27669,https://www.imdb.com/title/tt5827916/reviews/?ref_=tt_ql_2
Women Talking,Drama,6.9,2022,0,104.0,40428,https://www.imdb.com/title/tt13669038/reviews/?ref_=tt_ql_2
The Big Sick,"Comedy,Drama,Romance",7.5,2017,0,120.0,142574,https://www.imdb.com/title/tt5462602/reviews/?ref_=tt_ql_2
A Star Is Born,"Drama,Music,Romance",7.6,2018,0,136.0,414224,https://www.imdb.com/title/tt1517451/reviews/?ref_=tt_ql_2
Overdrive,"Action,Adventure,Crime",5.4,2017,0,93.0,16274,https://www.imdb.com/title/tt1935194/reviews/?ref_=tt_ql_2
The Batman,"Action,Crime,Drama",7.8,2022,0,176.0,767892,https://www.imdb.com/title/tt1877830/reviews/?ref_=tt_ql_2
Joker,"Crime,Drama,Thriller",8.4,2019,0,122.0,1454198,https://www.imdb.com/title/tt7286456/reviews/?ref_=tt_ql_2
Let Him Go,"Crime,Drama,Thriller",6.7,2020,0,113.0,34544,https://www.imdb.com/title/tt9340860/reviews/?ref_=tt_ql_2
Secret Superstar,"Drama,Music",7.8,2017,0,150.0,29243,https://www.imdb.com/title/tt6108090/reviews/?ref_=tt_ql_2
Peter Rabbit 2: The Runaway,"Adventure,Animation,Comedy",6.2,2021,0,93.0,14295,https://www.imdb.com/title/tt8376234/reviews/?ref_=tt_ql_2
Don't Listen,"Adventure,Drama,Horror",6.1,2020,0,97.0,16633,https://www.imdb.com/title/tt11750282/reviews/?ref_=tt_ql_2
Attraction,"Action,Drama,Romance",5.6,2017,0,132.0,14024,https://www.imdb.com/title/tt4731148/reviews/?ref_=tt_ql_2
Pimp,"Crime,Drama,Romance",6.1,2018,0,86.0,17421,https://www.imdb.com/title/tt3107166/reviews/?ref_=tt_ql_2
Fear Street: Part Three - 1666,"Horror,Mystery",6.6,2021,0,114.0,62327,https://www.imdb.com/title/tt9701942/reviews/?ref_=tt_ql_2
