Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
You Hurt My Feelings,"Comedy,Drama",6.6,2023,0,93.0,10515,https://www.imdb.com/title/tt15771916/reviews/?ref_=tt_ql_2
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",5.6,2018,0,99.0,37148,https://www.imdb.com/title/tt5523010/reviews/?ref_=tt_ql_2
Colette,"Biography,Drama,History",6.7,2018,0,111.0,26188,https://www.imdb.com/title/tt5437928/reviews/?ref_=tt_ql_2
Bad Education,"Biography,Comedy,Crime",7.1,2019,0,108.0,43136,https://www.imdb.com/title/tt8206668/reviews/?ref_=tt_ql_2
Pariyerum Perumal,Drama,8.7,2018,0,154.0,18210,https://www.imdb.com/title/tt8176054/reviews/?ref_=tt_ql_2
The Tale,"Biography,Drama,Mystery",7.2,2018,0,114.0,19479,https://www.imdb.com/title/tt4015500/reviews/?ref_=tt_ql_2
American Factory,Documentary,7.4,2019,0,110.0,23606,https://www.imdb.com/title/tt9351980/reviews/?ref_=tt_ql_2
Ghosts of War,"Fantasy,Horror,Thriller",5.6,2020,0,94.0,11830,https://www.imdb.com/title/tt6508228/reviews/?ref_=tt_ql_2
Handsome Devil,"Comedy,Drama,Sport",7.0,2016,0,95.0,16760,https://www.imdb.com/title/tt5016946/reviews/?ref_=tt_ql_2
Priscilla,"Biography,Drama,Music",6.7,2023,0,113.0,22116,https://www.imdb.com/title/tt22041854/reviews/?ref_=tt_ql_2
Mowgli: Legend of the Jungle,"Adventure,Drama,Fantasy",6.5,2018,0,104.0,65313,https://www.imdb.com/title/tt2388771/reviews/?ref_=tt_ql_2
Goodbye Berlin,"Comedy,Drama,Family",6.9,2016,0,93.0,10898,https://www.imdb.com/title/tt4911940/reviews/?ref_=tt_ql_2
Scary Stories to Tell in the Dark,"Adventure,Horror,Mystery",6.2,2019,0,108.0,84398,https://www.imdb.com/title/tt3387520/reviews/?ref_=tt_ql_2
Billy Lynn's Long Halftime Walk,"Action,Drama,Sport",6.2,2016,0,113.0,23898,https://www.imdb.com/title/tt2513074/reviews/?ref_=tt_ql_2
Southside with You,"Biography,Drama,History",6.3,2016,0,84.0,10097,https://www.imdb.com/title/tt4258698/reviews/?ref_=tt_ql_2
Haunted Mansion,"Comedy,Drama,Family",6.0,2023,0,123.0,40744,https://www.imdb.com/title/tt1695843/reviews/?ref_=tt_ql_2
Two Is a Family,"Comedy,Drama",7.3,2016,0,118.0,28400,https://www.imdb.com/title/tt5078204/reviews/?ref_=tt_ql_2
The Girl in the Spider's Web,"Action,Adventure,Crime",6.1,2018,0,115.0,51283,https://www.imdb.com/title/tt5177088/reviews/?ref_=tt_ql_2
Mr. Church,"Comedy,Drama",7.6,2016,0,104.0,30988,https://www.imdb.com/title/tt4196848/reviews/?ref_=tt_ql_2
Jiu Jitsu,"Action,Sci-Fi,Thriller",2.9,2020,0,102.0,10124,https://www.imdb.com/title/tt9624766/reviews/?ref_=tt_ql_2
Rustom,"Crime,Drama,Thriller",7.0,2016,0,148.0,28315,https://www.imdb.com/title/tt5165344/reviews/?ref_=tt_ql_2
Hubie Halloween,"Comedy,Horror,Mystery",5.2,2020,0,103.0,57918,https://www.imdb.com/title/tt10682266/reviews/?ref_=tt_ql_2
Moonfall,"Action,Adventure,Sci-Fi",5.1,2022,0,130.0,97070,https://www.imdb.com/title/tt5834426/reviews/?ref_=tt_ql_2
Gaslight,"Crime,Horror,Mystery",5.9,2023,0,111.0,24879,https://www.imdb.com/title/tt27012110/reviews/?ref_=tt_ql_2
Outlaw King,"Action,Biography,Drama",6.9,2018,0,121.0,79867,https://www.imdb.com/title/tt6679794/reviews/?ref_=tt_ql_2
The Hating Game,"Comedy,Romance",6.2,2021,0,102.0,25140,https://www.imdb.com/title/tt8718158/reviews/?ref_=tt_ql_2
Two Lottery Tickets,Comedy,7.5,2016,0,86.0,11918,https://www.imdb.com/title/tt5700224/reviews/?ref_=tt_ql_2
The Perfect Date,"Comedy,Romance",5.8,2019,0,89.0,42618,https://www.imdb.com/title/tt8201170/reviews/?ref_=tt_ql_2
Survive the Night,"Action,Drama,Thriller",4.0,2020,0,90.0,11908,https://www.imdb.com/title/tt10303324/reviews/?ref_=tt_ql_2
Little Monsters,"Comedy,Horror,Sci-Fi",6.3,2019,0,93.0,19038,https://www.imdb.com/title/tt7390588/reviews/?ref_=tt_ql_2
Gotti,"Biography,Crime,Drama",4.8,2018,0,112.0,16911,https://www.imdb.com/title/tt1801552/reviews/?ref_=tt_ql_2
Ghost in the Shell,"Action,Crime,Drama",6.3,2017,0,107.0,226255,https://www.imdb.com/title/tt1219827/reviews/?ref_=tt_ql_2
Dobaaraa,"Drama,Fantasy,Mystery",4.8,2022,0,132.0,20838,https://www.imdb.com/title/tt14042066/reviews/?ref_=tt_ql_2
On the Basis of Sex,"Biography,Drama",7.1,2018,0,120.0,37818,https://www.imdb.com/title/tt4669788/reviews/?ref_=tt_ql_2
Adverse,"Crime,Thriller",4.3,2020,0,94.0,16179,https://www.imdb.com/title/tt8597594/reviews/?ref_=tt_ql_2
Memory,"Action,Crime,Thriller",5.7,2022,0,114.0,34197,https://www.imdb.com/title/tt11827628/reviews/?ref_=tt_ql_2
I Am the Pretty Thing That Lives in the House,"Drama,Horror,Mystery",4.6,2016,0,89.0,15773,https://www.imdb.com/title/tt5059406/reviews/?ref_=tt_ql_2
Earthquake Bird,"Crime,Drama,Mystery",6.0,2019,0,107.0,15689,https://www.imdb.com/title/tt8178486/reviews/?ref_=tt_ql_2
The Exception,"Drama,Romance,War",6.8,2016,0,107.0,15144,https://www.imdb.com/title/tt4721124/reviews/?ref_=tt_ql_2
Hustlers,"Comedy,Crime,Drama",6.3,2019,0,110.0,106698,https://www.imdb.com/title/tt5503686/reviews/?ref_=tt_ql_2
Life in a Year,"Drama,Romance",6.2,2020,0,107.0,10493,https://www.imdb.com/title/tt6598238/reviews/?ref_=tt_ql_2
Nine Days,"Drama,Fantasy",6.8,2020,0,124.0,11363,https://www.imdb.com/title/tt10451852/reviews/?ref_=tt_ql_2
Willy's Wonderland,"Action,Comedy,Horror",5.5,2021,0,88.0,37619,https://www.imdb.com/title/tt8114980/reviews/?ref_=tt_ql_2
Toc Toc,Comedy,6.8,2017,0,90.0,21327,
I.T.,"Crime,Drama,Mystery",5.5,2016,0,95.0,16849,
