Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
The Guilty,"Crime,Drama,Thriller",6.3,2021,0,90.0,145621,https://www.imdb.com/title/tt9421570/reviews/?ref_=tt_ql_2
The Curse of La Llorona,"Horror,Mystery,Thriller",5.3,2019,0,93.0,57004,https://www.imdb.com/title/tt4913966/reviews/?ref_=tt_ql_2
Ben Is Back,Drama,6.7,2018,0,103.0,23976,https://www.imdb.com/title/tt7545524/reviews/?ref_=tt_ql_2
No One Gets Out Alive,"Drama,Horror,Mystery",5.4,2021,0,87.0,20394,https://www.imdb.com/title/tt13056008/reviews/?ref_=tt_ql_2
Satyaprem Ki Katha,"Comedy,Drama,Musical",6.8,2023,0,146.0,29485,https://www.imdb.com/title/tt14914988/reviews/?ref_=tt_ql_2
Blue Bayou,Drama,7.1,2021,0,117.0,10123,https://www.imdb.com/title/tt11121664/reviews/?ref_=tt_ql_2
Dear Zindagi,"Drama,Romance",7.4,2016,0,151.0,43225,https://www.imdb.com/title/tt5946128/reviews/?ref_=tt_ql_2
Revolt,"Action,Adventure,Sci-Fi",5.3,2017,0,87.0,10087,https://www.imdb.com/title/tt3722614/reviews/?ref_=tt_ql_2
Ferdinand,"Adventure,Animation,Comedy",6.7,2017,0,108.0,62823,https://www.imdb.com/title/tt3411444/reviews/?ref_=tt_ql_2
Monster,"Drama,Thriller",7.9,2023,0,127.0,12814,https://www.imdb.com/title/tt23736044/reviews/?ref_=tt_ql_2
Girl in the Picture,"Crime,Documentary,Mystery",7.2,2022,0,101.0,21036,https://www.imdb.com/title/tt21059520/reviews/?ref_=tt_ql_2
The Red Sea Diving Resort,"Drama,History,Thriller",6.6,2019,0,129.0,32284,
The Hero,"Drama,Romance",6.5,2017,0,96.0,10372,https://www.imdb.com/title/tt5655222/reviews/?ref_=tt_ql_2
Sirf Ek Bandaa Kaafi Hai,"Crime,Drama,Thriller",7.9,2023,0,132.0,27806,https://www.imdb.com/title/tt24485052/reviews/?ref_=tt_ql_2
Maudie,"Biography,Drama,Romance",7.6,2016,0,115.0,20994,https://www.imdb.com/title/tt3721954/reviews/?ref_=tt_ql_2
Hereditary,"Drama,Horror,Mystery",7.3,2018,0,127.0,369891,https://www.imdb.com/title/tt7784604/reviews/?ref_=tt_ql_2
She Said,"Drama,History",7.3,2022,0,129.0,38060,https://www.imdb.com/title/tt11198810/reviews/?ref_=tt_ql_2
The Finest Hours,"Action,Drama,History",6.7,2016,0,117.0,70302,https://www.imdb.com/title/tt2025690/reviews/?ref_=tt_ql_2
Last the Night,"Horror,Thriller",4.7,2022,0,88.0,10842,https://www.imdb.com/title/tt14263856/reviews/?ref_=tt_ql_2
The Christmas Chronicles: Part Two,"Adventure,Comedy,Family",6.0,2020,0,112.0,35469,https://www.imdb.com/title/tt11057644/reviews/?ref_=tt_ql_2
Spiral,"Crime,Horror,Mystery",5.2,2021,0,93.0,67096,https://www.imdb.com/title/tt10342730/reviews/?ref_=tt_ql_2
Saint Maud,"Drama,Horror,Mystery",6.7,2019,0,84.0,45705,https://www.imdb.com/title/tt7557108/reviews/?ref_=tt_ql_2
Fences,Drama,7.2,2016,0,139.0,116835,https://www.imdb.com/title/tt2671706/reviews/?ref_=tt_ql_2
