Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
He's All That,"Comedy,Romance",4.4,2021,0,88.0,28204,https://www.imdb.com/title/tt4590256/reviews/?ref_=tt_ql_2
Loving,"Biography,Drama,Romance",7.0,2016,0,123.0,36198,https://www.imdb.com/title/tt4669986/reviews/?ref_=tt_ql_2
The Accountant,"Action,Crime,Drama",7.3,2016,0,128.0,315644,https://www.imdb.com/title/tt2140479/reviews/?ref_=tt_ql_2
Ghost Stories,"Drama,Horror",6.4,2017,0,98.0,36593,https://www.imdb.com/title/tt5516328/reviews/?ref_=tt_ql_2
C'mon C'mon,Drama,7.4,2021,0,109.0,38034,https://www.imdb.com/title/tt10986222/reviews/?ref_=tt_ql_2
10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,2016,0,103.0,351123,https://www.imdb.com/title/tt1179933/reviews/?ref_=tt_ql_2
Bird Box,"Horror,Mystery,Sci-Fi",6.6,2018,0,124.0,380633,https://www.imdb.com/title/tt2737304/reviews/?ref_=tt_ql_2
Breakthrough,"Biography,Drama",6.3,2019,0,116.0,10853,https://www.imdb.com/title/tt7083526/reviews/?ref_=tt_ql_2
Run Rabbit Run,"Horror,Thriller",5.0,2023,0,100.0,10462,https://www.imdb.com/title/tt12547822/reviews/?ref_=tt_ql_2
Incantation,"Horror,Mystery",6.2,2022,0,110.0,19940,https://www.imdb.com/title/tt18968540/reviews/?ref_=tt_ql_2
Crawl,"Action,Adventure,Horror",6.1,2019,0,87.0,92954,https://www.imdb.com/title/tt8364368/reviews/?ref_=tt_ql_2
It Comes at Night,"Drama,Horror,Mystery",6.2,2017,0,91.0,101898,https://www.imdb.com/title/tt4695012/reviews/?ref_=tt_ql_2
14 Peaks: Nothing Is Impossible,"Adventure,Documentary,Sport",7.7,2021,0,101.0,29975,https://www.imdb.com/title/tt14079374/reviews/?ref_=tt_ql_2
Freaks,"Drama,Mystery,Sci-Fi",6.7,2018,0,105.0,39676,https://www.imdb.com/title/tt8781414/reviews/?ref_=tt_ql_2
