Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,User Reviews URL
Shadow,"Action,Adventure,Fantasy",7.0,2018,0,116.0,17935,https://www.imdb.com/title/tt6864046/reviews/?ref_=tt_ql_2
Alone,"Drama,Horror,Mystery",6.2,2020,0,98.0,26357,https://www.imdb.com/title/tt7711170/reviews/?ref_=tt_ql_2
I Am Wrath,"Action,Thriller",5.4,2016,0,92.0,15925,https://www.imdb.com/title/tt3212232/reviews/?ref_=tt_ql_2
To All the Boys I've Loved Before,"Comedy,Drama,Romance",7.0,2018,0,99.0,121881,https://www.imdb.com/title/tt3846674/reviews/?ref_=tt_ql_2
Veere Di Wedding,Comedy,3.3,2018,0,135.0,13191,https://www.imdb.com/title/tt5842616/reviews/?ref_=tt_ql_2
Guardians of the Galaxy Vol. 3,"Action,Adventure,Comedy",7.9,2023,0,150.0,367639,
Judwaa 2,"Action,Comedy",3.6,2017,0,145.0,11525,https://www.imdb.com/title/tt5456546/reviews/?ref_=tt_ql_2
Skinamarink,"Horror,Mystery",4.8,2022,0,100.0,14881,https://www.imdb.com/title/tt21307994/reviews/?ref_=tt_ql_2
Cuties,Drama,3.6,2020,0,96.0,32500,https://www.imdb.com/title/tt9196192/reviews/?ref_=tt_ql_2
Blue Beetle,"Action,Adventure,Sci-Fi",6.0,2023,0,127.0,87473,https://www.imdb.com/title/tt9362930/reviews/?ref_=tt_ql_2
The Blackening,"Comedy,Horror,Thriller",6.0,2022,0,97.0,17197,https://www.imdb.com/title/tt11703244/reviews/?ref_=tt_ql_2
Satyameva Jayate 2,"Action,Crime,Drama",4.1,2021,0,138.0,16066,
Free Solo,"Adventure,Documentary,Sport",8.1,2018,0,100.0,76222,https://www.imdb.com/title/tt7775622/reviews/?ref_=tt_ql_2
2018,"Action,Drama,Thriller",8.4,2023,0,150.0,11263,
Enes Batur: Imagination or Reality?,Comedy,2.0,2018,0,110.0,55938,https://www.imdb.com/title/tt7668842/reviews/?ref_=tt_ql_2
The Hate U Give,"Crime,Drama",7.5,2018,0,133.0,39658,https://www.imdb.com/title/tt5580266/reviews/?ref_=tt_ql_2
