Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Spies in Disguise,"Action,Adventure,Animation",6.8,2019,0,102.0,55779
The Party,"Comedy,Drama",6.5,2017,0,71.0,20626
Victoria & Abdul,"Biography,Comedy,Drama",6.8,2017,0,111.0,37931
The Kitchen,"Action,Crime,Drama",5.6,2019,0,102.0,22778
Wonder Wheel,"Drama,Romance",6.2,2017,0,101.0,30648
A Hidden Life,"Biography,Drama,Romance",7.4,2019,0,174.0,27669
Hotel Artemis,"Action,Crime,Drama",6.1,2018,0,94.0,57779
Moonfall,"Action,Adventure,Sci-Fi",5.1,2022,0,130.0,97070
Look Away,"Drama,Fantasy,Horror",5.8,2018,0,103.0,21892
Veere Di Wedding,Comedy,3.3,2018,0,135.0,13191
Chemical Hearts,"Drama,Romance",6.3,2020,0,93.0,16013
Ralph Breaks the Internet,"Adventure,Animation,Comedy",7.0,2018,0,112.0,180066
Lucky,"Comedy,Drama,Western",7.3,2017,0,88.0,25737
The Poison Rose,"Crime,Mystery,Thriller",4.8,2019,0,98.0,11015
Veronica,"Horror,Mystery",6.2,2017,0,105.0,46906
The Laundromat,"Comedy,Crime,Drama",6.3,2019,0,96.0,54500
The Empty Man,"Drama,Horror,Mystery",6.2,2020,0,137.0,37455
Aruvi,Drama,8.4,2016,0,130.0,14237
Tubelight,"Drama,War",3.9,2017,0,136.0,21649
Pokémon: Detective Pikachu,"Action,Adventure,Comedy",6.5,2019,0,104.0,180732
Brad's Status,"Comedy,Drama,Music",6.5,2017,0,102.0,18998
First Kill,"Action,Thriller",5.0,2017,0,97.0,12365
The Super,"Horror,Thriller",5.2,2017,0,90.0,21589
Plane,"Action,Adventure,Thriller",6.5,2023,0,107.0,75471
Escape Room,"Action,Adventure,Horror",6.4,2019,0,99.0,139759
Marrowbone,"Drama,Horror,Mystery",6.7,2017,0,110.0,38182
Sandy Wexler,Comedy,5.2,2017,0,130.0,18672
13th,"Crime,Documentary,History",8.2,2016,0,100.0,37407
Tunnel,"Drama,Thriller",6.8,2016,0,126.0,10296
Blue Jay,"Drama,Romance",7.3,2016,0,80.0,20406
Wounds,"Drama,Horror,Mystery",4.1,2019,0,95.0,21341
Possessor,"Horror,Mystery,Sci-Fi",6.5,2020,0,103.0,44840
Gantz: O,"Action,Animation,Drama",7.1,2016,0,95.0,16542
Beatriz at Dinner,"Comedy,Drama",6.0,2017,0,82.0,10792
Wildlife,Drama,6.8,2018,0,105.0,31041
Before the Flood,"Documentary,News",8.2,2016,0,96.0,28734
The Professor and the Madman,"Biography,Drama,History",7.2,2019,0,124.0,50448
Padmaavat,"Drama,History,Romance",7.1,2018,0,163.0,36486
Miss Bala,"Action,Crime,Drama",5.8,2019,0,104.0,12550
Dear Zindagi,"Drama,Romance",7.4,2016,0,151.0,43225
The Balkan Line,"Action,War",6.6,2019,0,130.0,10464
Amanda Knox,"Crime,Documentary",6.9,2016,0,92.0,25947
The Mustang,Drama,6.8,2019,0,96.0,14348
Tiger Zinda Hai,"Action,Adventure,Thriller",5.9,2017,0,161.0,33456
Vada Chennai,"Action,Crime,Drama",8.4,2018,0,164.0,19400
Vox Lux,"Drama,Music",5.8,2018,0,114.0,19471
Ingrid Goes West,"Comedy,Drama",6.6,2017,0,98.0,47542
The Angel,"Action,Biography,Drama",6.7,2018,0,114.0,15375
Captive State,"Action,Horror,Sci-Fi",6.0,2019,0,109.0,57098
Thugs of Hindostan,"Action,Adventure",4.0,2018,0,164.0,21866
The Little Mermaid,"Adventure,Family,Fantasy",7.2,2023,0,135.0,151937
The Aftermath,"Drama,Romance,War",6.3,2019,0,108.0,23514
Bleach,"Action,Adventure,Fantasy",6.3,2018,0,108.0,12745
Jolly LLB 2,"Comedy,Crime,Drama",7.2,2017,0,137.0,26913
Reis,"Biography,Drama",1.0,2017,0,108.0,74003
Life Itself,"Drama,Romance",6.9,2018,0,117.0,24322
Columbus,Drama,7.2,2017,0,104.0,20591
Jab Harry Met Sejal,"Comedy,Drama,Romance",5.1,2017,0,143.0,22591
"Roman J. Israel, Esq.","Crime,Drama,Thriller",6.5,2017,0,122.0,42723
Custody,"Drama,Thriller",7.5,2017,0,93.0,10167
Diary of a Wimpy Kid: The Long Haul,"Adventure,Comedy,Family",4.3,2017,0,91.0,10728
Zoe,"Drama,Romance,Sci-Fi",6.1,2018,0,104.0,10165
The Edge of Democracy,"Documentary,History",7.3,2019,0,121.0,15646
Radioactive,"Biography,Drama,Romance",6.3,2019,0,109.0,21224
Kin,"Action,Drama,Sci-Fi",5.8,2018,0,102.0,18592
Last Flag Flying,"Comedy,Drama,War",6.9,2017,0,125.0,27923
