Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy",7.6,2017,0,136.0,750983
Hounds of Love,"Crime,Drama,Thriller",6.5,2016,0,108.0,13280
The Breadwinner,"Animation,Drama,Family",7.7,2017,0,94.0,27957
Mary Shelley,"Biography,Drama,History",6.4,2017,0,120.0,17549
All the Bright Places,"Drama,Romance",6.6,2020,0,107.0,37703
The Love Witch,"Comedy,Horror,Romance",6.2,2016,0,120.0,19501
Puss in Boots: The Last Wish,"Adventure,Animation,Comedy",7.8,2022,0,102.0,168763
The Siege of Jadotville,"Action,Drama,History",7.2,2016,0,108.0,43847
The Space Between Us,"Drama,Romance,Sci-Fi",6.4,2017,0,120.0,55897
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",5.9,2016,0,112.0,99052
Popstar: Never Stop Never Stopping,"Comedy,Drama,Music",6.7,2016,0,87.0,67605
Marauders,"Action,Crime,Thriller",5.5,2016,0,107.0,23690
Okja,"Action,Adventure,Drama",7.3,2017,0,120.0,130939
The Monster,"Drama,Fantasy,Horror",5.4,2016,0,91.0,19113
The Endless,"Drama,Fantasy,Horror",6.5,2017,0,111.0,48697
The 9th Life of Louis Drax,"Drama,Mystery,Thriller",6.3,2016,0,108.0,15121
The House That Jack Built,"Crime,Drama,Horror",6.8,2018,0,152.0,90039
Level 16,"Drama,Mystery,Sci-Fi",6.1,2018,0,102.0,15871
The Tale,"Biography,Drama,Mystery",7.2,2018,0,114.0,19479
The Handmaiden,"Drama,Romance,Thriller",8.1,2016,0,145.0,169126
Exposed,"Crime,Drama,Mystery",4.3,2016,0,102.0,16640
The Innocents,"Drama,Fantasy,Horror",7.0,2021,0,117.0,23903
The Bye Bye Man,"Drama,Fantasy,Horror",4.3,2017,0,96.0,25774
Manchester by the Sea,Drama,7.8,2016,0,137.0,308492
Swiss Army Man,"Comedy,Drama,Fantasy",6.9,2016,0,97.0,132383
Toni Erdmann,"Comedy,Drama",7.3,2016,0,162.0,51225
The Shallows,"Action,Drama,Horror",6.3,2016,0,86.0,142334
AmeriGeddon,"Action,Adventure,Drama",3.8,2016,0,90.0,13265
Firebird,"Biography,Drama,Romance",7.1,2021,0,107.0,12395
The Unknown Soldier,"Drama,War",7.7,2017,0,180.0,12725
The Nightingale,"Adventure,Drama,Thriller",7.3,2018,0,136.0,34910
The Darkest Minds,"Action,Adventure,Drama",5.7,2018,0,104.0,35762
A Prayer Before Dawn,"Action,Biography,Crime",6.8,2017,0,116.0,25930
The Valet,"Comedy,Drama,Romance",6.7,2022,0,124.0,15701
Department Q: A Conspiracy of Faith,"Crime,Drama,Mystery",7.0,2016,0,112.0,22096
The Purge: Election Year,"Action,Horror,Sci-Fi",6.0,2016,0,108.0,109044
Forever My Girl,"Comedy,Drama,Music",6.6,2018,0,108.0,20925
American Renegades,"Action,Adventure,Crime",5.5,2017,0,106.0,10806
The Postcard Killings,"Crime,Drama,Mystery",5.8,2020,0,104.0,14724
The Lego Batman Movie,"Action,Adventure,Animation",7.3,2017,0,104.0,170187
Things to Come,Drama,6.9,2016,0,102.0,14637
Fantastic Beasts: The Crimes of Grindelwald,"Adventure,Family,Fantasy",6.5,2018,0,134.0,305529
Fantastic Beasts: The Secrets of Dumbledore,"Adventure,Family,Fantasy",6.2,2022,0,142.0,166504
After,"Drama,Romance",5.3,2019,0,105.0,64409
Jagga Jasoos,"Action,Adventure,Comedy",6.4,2017,0,161.0,11468
White Girl,"Crime,Drama",5.7,2016,0,88.0,11641
The Vanishing,"Drama,Mystery,Thriller",5.9,2018,0,107.0,20351
Florence Foster Jenkins,"Biography,Comedy,Drama",6.8,2016,0,111.0,59118
Keanu,"Action,Comedy,Crime",6.2,2016,0,100.0,51672
Polar,"Action,Thriller",6.3,2019,0,118.0,97994
The Legend of Maula Jatt,"Action,Drama,Fantasy",8.7,2022,0,153.0,10485
Wiener-Dog,"Comedy,Drama",5.9,2016,0,88.0,10944
Captain Marvel,"Action,Adventure,Sci-Fi",6.8,2019,0,123.0,603906
Avengers: Infinity War,"Action,Adventure,Sci-Fi",8.4,2018,0,149.0,1184616
Avengers: Endgame,"Action,Adventure,Drama",8.4,2019,0,181.0,1246466
Replicas,"Action,Drama,Sci-Fi",5.4,2018,0,107.0,41634
The Last Boy,"Fantasy,Mystery,Sci-Fi",4.8,2019,0,87.0,10350
Free Fire,"Action,Comedy,Crime",6.3,2016,0,91.0,50184
Other People,"Comedy,Drama",6.8,2016,0,97.0,12509
Don't Breathe,"Crime,Horror,Thriller",7.1,2016,0,88.0,297022
M.S. Dhoni: The Untold Story,"Biography,Drama,Sport",8.0,2016,0,184.0,67276
13 Hours,"Action,Drama,History",7.3,2016,0,144.0,158402
Otherhood,Comedy,6.1,2019,0,100.0,12328
Special Correspondents,Comedy,5.9,2016,0,101.0,26260
Anthropoid,"Action,Biography,Drama",7.2,2016,0,120.0,53405
Meet the Blacks,"Comedy,Horror",4.8,2016,0,94.0,37762
