Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,Random
Jason Bourne,"Action,Thriller",6.6,2016,0,123.0,240099,34896
Fire of Love,"Biography,Documentary",7.6,2022,0,98.0,13935,35252
The Silence,"Drama,Horror,Sci-Fi",5.3,2019,0,90.0,50185,35438
The Angel,"Action,Biography,Drama",6.7,2018,0,114.0,15375,35939
The Eyes of Tammy Faye,"Biography,Drama,Romance",6.6,2021,0,126.0,38365,36597
13th,"Crime,Documentary,History",8.2,2016,0,100.0,37407,36626
Kodachrome,Drama,6.8,2017,0,105.0,19532,36889
The Disaster Artist,"Biography,Comedy,Drama",7.3,2017,0,104.0,162951,37174
Desperados,"Comedy,Romance",5.2,2020,0,105.0,11138,37192
The Sadness,Horror,6.4,2021,0,99.0,18255,37398
Honest Thief,"Action,Thriller",6.0,2020,0,99.0,56963,37680
Bandit,"Crime,Drama,Thriller",6.4,2022,0,126.0,12560,37771
The Nun,"Horror,Mystery,Thriller",5.3,2018,0,96.0,168153,38081
Serenity,"Drama,Mystery,Thriller",5.4,2019,0,106.0,44722,38136
The Wolf of Snow Hollow,"Comedy,Horror,Mystery",6.2,2020,0,85.0,24045,38160
Little,"Comedy,Fantasy,Romance",5.5,2019,0,109.0,14504,38592
"Batman: The Long Halloween, Part One","Action,Animation,Crime",7.2,2021,0,85.0,19578,39662
Cam,"Drama,Horror,Mystery",5.9,2018,0,94.0,35707,40037
Hacksaw Ridge,"Biography,Drama,History",8.1,2016,0,139.0,584184,40040
Mirror Game,"Crime,Mystery,Thriller",9.0,2016,0,147.0,29401,40148
Before the Flood,"Documentary,News",8.2,2016,0,96.0,28734,40162
Palmer,Drama,7.3,2021,0,110.0,42818,40284
The Dawn Wall,"Biography,Documentary,Sport",8.1,2017,0,100.0,21082,40477
We Can Be Heroes,"Action,Comedy,Drama",4.7,2020,0,100.0,16901,40519
Host,"Horror,Mystery",6.5,2020,0,57.0,38566,40801
Lights Out,"Horror,Mystery",6.3,2016,0,81.0,140920,41264
Ayyappanum Koshiyum,"Action,Drama,Thriller",8.0,2020,0,177.0,10365,41292
Jaane Jaan,"Crime,Drama,Mystery",7.0,2023,0,139.0,12898,41331
I Still See You,"Fantasy,Horror,Mystery",5.8,2018,0,98.0,11321,41923
Resident Evil: Vendetta,"Action,Adventure,Animation",6.2,2017,0,97.0,15294,41995
Queen & Slim,"Crime,Drama,Romance",7.1,2019,0,132.0,34361,42262
Alita: Battle Angel,"Action,Adventure,Sci-Fi",7.3,2019,0,122.0,290565,42451
Finch,"Adventure,Drama,Sci-Fi",6.9,2021,0,115.0,95163,42517
Nowhere,"Drama,Thriller",6.3,2023,0,109.0,32636,42606
Shyam Singha Roy,"Drama,Romance",7.6,2021,0,155.0,14976,42639
The Siege of Jadotville,"Action,Drama,History",7.2,2016,0,108.0,43847,43179
Against the Ice,"Adventure,Drama,History",6.5,2022,0,102.0,27891,43205
Cobweb,"Horror,Thriller",6.0,2023,0,88.0,27899,43477
Slaughterhouse Rulez,"Action,Comedy,Fantasy",5.3,2018,0,104.0,16178,43607
The Burial,Drama,7.1,2023,0,126.0,30281,43977
Jug Jugg Jeeyo,"Comedy,Drama,Family",6.1,2022,0,148.0,38843,44045
Bad Boys for Life,"Action,Comedy,Crime",6.5,2020,0,124.0,173168,44147
Fifty Shades Darker,"Drama,Mystery,Romance",4.6,2017,0,118.0,110134,44287
Evil Dead Rise,Horror,6.5,2023,0,96.0,131848,44353
Tejas,"Action,Drama,Thriller",4.8,2023,0,112.0,22612,45215
Balloon,"Drama,History,Thriller",7.5,2018,0,125.0,13170,45583
Bairavaa,"Action,Thriller",5.8,2017,0,169.0,11491,45720
Certain Women,Drama,6.4,2016,0,107.0,15225,45936
The Open House,"Horror,Thriller",3.3,2018,0,94.0,36812,46284
Wine Country,"Adventure,Comedy,Drama",5.5,2019,0,103.0,22763,46315
