Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Gold,"Action,Adventure,Thriller",5.4,2022,0,97.0,12183
Smolensk,"Drama,Thriller",1.2,2016,0,120.0,40151
The Children Act,Drama,6.7,2017,0,105.0,14611
Skin,"Biography,Crime,Drama",6.8,2018,0,118.0,18402
Greyhound,"Action,Drama,History",7.0,2020,0,91.0,111810
Naked,"Comedy,Fantasy,Romance",5.4,2017,0,96.0,21444
First Reformed,"Drama,Mystery,Thriller",7.1,2017,0,113.0,61888
Toc Toc,Comedy,6.8,2017,0,90.0,21327
Monos,"Adventure,Drama,Thriller",6.8,2019,0,102.0,18729
Light of My Life,"Drama,Sci-Fi,Thriller",6.6,2019,0,119.0,15145
Lucifer,"Action,Crime,Drama",7.5,2019,0,175.0,12326
I See You,"Drama,Horror,Mystery",6.8,2019,0,98.0,64911
The Protégé,"Action,Thriller",6.1,2021,0,109.0,37657
Coma,"Action,Adventure,Mystery",6.3,2019,0,111.0,11458
The Angry Birds Movie 2,"Action,Adventure,Animation",6.4,2019,0,97.0,34445
Radius,"Drama,Horror,Mystery",6.3,2017,0,93.0,19285
Perfect Strangers,"Comedy,Drama",6.9,2017,0,97.0,15268
The Lion King,"Adventure,Animation,Drama",6.8,2019,0,118.0,264581
Late Night,"Comedy,Drama",6.5,2019,0,102.0,40462
Secret Superstar,"Drama,Music",7.8,2017,0,150.0,29243
Disobedience,Drama,6.6,2017,0,114.0,35443
The Woman in the Window,"Crime,Drama,Mystery",5.7,2021,0,100.0,82051
The Case for Christ,"Biography,Drama",6.3,2017,0,112.0,10108
The Night Comes for Us,"Action,Crime,Thriller",6.9,2018,0,121.0,28905
Irreplaceable You,"Comedy,Drama,Romance",6.4,2018,0,96.0,10324
Paradise Hills,"Fantasy,Mystery,Sci-Fi",5.2,2019,0,95.0,17349
Bhavesh Joshi Superhero,"Action,Crime,Drama",7.6,2018,0,154.0,10135
Professor Marston & the Wonder Women,"Biography,Drama,History",7.0,2017,0,108.0,28346
The First Purge,"Action,Horror,Sci-Fi",5.2,2018,0,97.0,70023
120 BPM,Drama,7.4,2017,0,143.0,16605
Aladdin,"Adventure,Comedy,Family",6.9,2019,0,128.0,287103
The Aeronauts,"Action,Adventure,Drama",6.6,2019,0,100.0,36956
The Humanity Bureau,"Sci-Fi,Thriller",4.5,2017,0,95.0,11992
John Wick: Chapter 3 - Parabellum,"Action,Crime,Thriller",7.4,2019,0,130.0,419504
Vikram Vedha,"Action,Crime,Drama",8.2,2017,0,147.0,50076
Waiting for the Barbarians,"Drama,History",5.9,2019,0,112.0,14384
Roma,Drama,7.7,2018,0,135.0,168427
White Noise,"Comedy,Drama,Horror",5.7,2022,0,136.0,43701
Wonka,"Adventure,Comedy,Family",7.2,2023,0,116.0,87964
I Think We're Alone Now,"Drama,Mystery,Sci-Fi",5.7,2018,0,99.0,12276
Gold,"Drama,History,Sport",7.3,2018,0,151.0,14661
Smallfoot,"Adventure,Animation,Comedy",6.6,2018,0,96.0,42556
Angel Has Fallen,"Action,Thriller",6.4,2019,0,121.0,108830
A Shaun the Sheep Movie: Farmageddon,"Adventure,Animation,Comedy",6.8,2019,0,86.0,15422
Incident in a Ghostland,"Drama,Horror,Mystery",6.4,2018,0,91.0,38895
The Hole in the Ground,"Drama,Horror,Mystery",5.6,2019,0,90.0,22007
Capone,"Biography,Crime,Drama",4.7,2020,0,103.0,22850
Bairavaa,"Action,Thriller",5.8,2017,0,169.0,11491
Bullet Head,"Crime,Drama,Thriller",5.4,2017,0,93.0,11205
Assassination Nation,"Action,Comedy,Crime",6.0,2018,0,108.0,21477
Trapped,"Drama,Thriller",7.5,2016,0,105.0,13570
10x10,"Drama,Mystery,Thriller",5.1,2018,0,88.0,11408
A Vigilante,"Crime,Drama,Mystery",5.7,2018,0,91.0,10339
American Animals,"Biography,Crime,Drama",7.0,2018,0,116.0,48874
1922,"Crime,Drama,Horror",6.2,2017,0,102.0,70912
Apostle,"Drama,Fantasy,Horror",6.3,2018,0,130.0,58323
The Rider,"Drama,Western",7.4,2017,0,104.0,20474
Annette,"Drama,Musical,Romance",6.3,2021,0,141.0,22363
Calibre,"Drama,Thriller",6.8,2018,0,101.0,32897
The Man Who Invented Christmas,"Biography,Comedy,Drama",7.0,2017,0,104.0,19180
Accident Man,"Action,Adventure,Comedy",6.2,2018,0,105.0,12739
Ravenous,"Action,Adventure,Drama",5.8,2017,0,104.0,10087
Don't Breathe 2,"Action,Crime,Horror",6.0,2021,0,98.0,70288
Office Uprising,"Action,Comedy,Horror",5.7,2018,0,92.0,17659
The Miseducation of Cameron Post,"Comedy,Drama",6.6,2018,0,91.0,25308
Code 8,"Action,Crime,Drama",6.1,2019,0,98.0,44133
