Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Come True,"Horror,Sci-Fi",6.0,2020,0,105.0,10860
Kurup,"Biography,Crime,Thriller",7.0,2021,0,140.0,14452
Every Day,"Drama,Fantasy,Romance",6.4,2018,0,97.0,23395
Kedarnath,"Drama,Romance",6.7,2018,0,116.0,15036
A Simple Favor,"Comedy,Crime,Mystery",6.8,2018,0,117.0,160639
The Man Who Killed Hitler and Then the Bigfoot,"Adventure,Drama,Sci-Fi",5.7,2018,0,98.0,13607
Velvet Buzzsaw,"Horror,Mystery,Thriller",5.7,2019,0,113.0,65507
The Insult,"Crime,Drama,Thriller",7.6,2017,0,113.0,17948
Forgotten,"Crime,Mystery,Thriller",7.4,2017,0,108.0,44706
Angel of Mine,"Drama,Mystery,Thriller",6.3,2019,0,98.0,12071
Dabangg 3,"Action,Comedy,Crime",3.0,2019,0,160.0,20211
Raatchasan,"Action,Crime,Drama",8.3,2018,0,146.0,50128
Theeran Adhigaram Ondru,"Action,Crime,Thriller",8.2,2017,0,157.0,16818
The Place,"Drama,Mystery,Thriller",7.0,2017,0,105.0,12501
The Conjuring: The Devil Made Me Do It,"Horror,Mystery,Thriller",6.3,2021,0,112.0,136414
The Front Runner,"Biography,Drama,History",6.1,2018,0,113.0,14067
Satan's Slaves,"Drama,Horror,Mystery",6.5,2017,0,107.0,10938
Breakthrough,"Biography,Drama",6.3,2019,0,116.0,10853
Venom: Let There Be Carnage,"Action,Sci-Fi,Thriller",5.9,2021,0,97.0,254942
Raazi,"Action,Drama,Thriller",7.7,2018,0,138.0,33468
On My Skin: The Last Seven Days of Stefano Cucchi,"Biography,Drama",7.3,2018,0,100.0,10080
Balloon,"Drama,History,Thriller",7.5,2018,0,125.0,13170
If Beale Street Could Talk,"Drama,Romance",7.1,2018,0,119.0,52077
Wonder Woman 1984,"Action,Adventure,Fantasy",5.4,2020,0,151.0,289130
Once Upon a Time in Hollywood,"Comedy,Drama",7.6,2019,0,161.0,829438
Next Gen,"Action,Adventure,Animation",6.6,2018,0,106.0,19120
The Rhythm Section,"Action,Drama,Mystery",5.4,2020,0,109.0,19502
Destroyer,"Action,Crime,Drama",6.2,2018,0,121.0,31519
Breaking In,"Action,Thriller",5.5,2018,0,88.0,16708
A Rainy Day in New York,"Comedy,Romance",6.5,2019,0,92.0,50173
The Black Phone,"Horror,Mystery,Thriller",6.9,2021,0,103.0,187130
Onward,"Action,Adventure,Animation",7.4,2020,0,102.0,167294
The Silencing,"Action,Crime,Mystery",6.3,2020,0,93.0,32927
Unsane,"Drama,Horror,Mystery",6.4,2018,0,98.0,49507
Hearts Beat Loud,"Comedy,Drama,Music",6.9,2018,0,97.0,11647
Along With the Gods: The Two Worlds,"Action,Adventure,Drama",7.2,2017,0,139.0,18848
The Zone of Interest,"Drama,History,War",7.9,2023,0,105.0,11985
Batman: Gotham by Gaslight,"Action,Adventure,Animation",6.7,2018,0,78.0,18813
Reign of the Supermen,"Action,Adventure,Animation",6.8,2019,0,87.0,18027
Like Father,"Comedy,Drama",6.1,2018,0,98.0,22822
Superintelligence,"Action,Comedy,Romance",5.4,2020,0,106.0,13092
El Angel,"Biography,Crime,Drama",6.9,2018,0,118.0,11456
Aiyai: Wrathful Soul,"Mystery,Thriller",4.2,2020,0,83.0,12407
Simmba,"Action,Crime,Drama",5.5,2018,0,158.0,21872
Ludo,"Action,Comedy,Crime",7.6,2020,0,150.0,43026
Jim & Andy: The Great Beyond,Documentary,7.6,2017,0,94.0,27801
Luck,"Adventure,Animation,Comedy",6.4,2022,0,105.0,28105
Pad Man,"Comedy,Drama",7.9,2018,0,140.0,28729
Heavy Trip,"Comedy,Music",7.0,2018,0,92.0,10449
Cumali Ceber: Allah Seni Alsin,Comedy,1.0,2017,0,100.0,39283
I Want to Eat Your Pancreas,"Animation,Drama,Family",8.0,2018,0,109.0,23152
Taxi 5,"Action,Comedy,Crime",4.7,2018,0,102.0,10583
Blindspotting,"Comedy,Crime,Drama",7.4,2018,0,95.0,32619
Student of the Year 2,"Action,Comedy,Drama",2.2,2019,0,146.0,22233
Father of the Year,Comedy,5.2,2018,0,94.0,12508
Minnal Murali,"Action,Comedy,Drama",7.8,2021,0,158.0,32191
Woman at War,"Adventure,Comedy,Drama",7.4,2018,0,101.0,11195
22 July,"Biography,Crime,Drama",6.8,2018,0,143.0,37160
Burning,"Drama,Mystery,Thriller",7.5,2018,0,148.0,74893
Joker,"Crime,Drama,Thriller",8.4,2019,0,122.0,1454198
The Dawn Wall,"Biography,Documentary,Sport",8.1,2017,0,100.0,21082
Gaga: Five Foot Two,"Documentary,Music",7.0,2017,0,100.0,13624
Arjun Reddy,"Action,Drama,Romance",7.9,2017,0,182.0,27477
Ash Is Purest White,"Crime,Drama,Romance",7.0,2018,0,136.0,10486
The Legacy of the Bones,"Crime,Thriller",6.4,2019,0,121.0,10048
Singularity,"Action,Adventure,Drama",3.6,2017,0,92.0,11618
