Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes,Random
American Assassin,"Action,Thriller",6.2,2017,0,111.0,88389,339646
Love Hard,"Comedy,Romance",6.3,2021,0,104.0,61048,340080
Live by Night,"Action,Crime,Drama",6.4,2016,0,129.0,59532,340262
Irresistible,"Comedy,Drama",6.3,2020,0,101.0,23230,340443
The Book of Henry,"Crime,Drama,Thriller",6.6,2017,0,105.0,29245,340938
Coolie No. 1,"Action,Comedy,Romance",4.2,2020,0,134.0,74137,341002
The Kissing Booth 3,"Comedy,Romance",4.8,2021,0,112.0,21302,341777
Private Life,"Comedy,Drama",7.2,2018,0,123.0,21826,342537
Anyone But You,"Comedy,Romance",6.7,2023,0,103.0,17521,342868
The Isle,"Fantasy,Mystery,Thriller",4.9,2018,0,96.0,11463,343209
Champions,"Comedy,Drama,Family",7.2,2018,0,124.0,11684,343684
Morbius,"Action,Adventure,Horror",5.2,2022,0,104.0,149079,343813
Ludo,"Action,Comedy,Crime",7.6,2020,0,150.0,43026,343869
Hidden Strike,"Action,Adventure,Comedy",5.3,2023,0,102.0,17767,344055
Behind the Curve,Documentary,6.5,2018,0,96.0,10671,344217
Beavis and Butt-Head Do the Universe,"Animation,Comedy,Sci-Fi",7.0,2022,0,87.0,13035,344479
Deerskin,"Comedy,Horror",6.6,2019,0,77.0,11424,344530
Errementari,"Fantasy,Horror",6.4,2017,0,98.0,13346,344786
Skin,"Biography,Crime,Drama",6.8,2018,0,118.0,18402,345446
C'est la vie!,"Comedy,Drama,Romance",6.8,2017,0,117.0,11887,346084
Firebird,"Biography,Drama,Romance",7.1,2021,0,107.0,12395,346236
Antebellum,"Drama,Horror,Mystery",5.8,2020,0,105.0,29477,346237
Rye Lane,"Comedy,Drama,Romance",7.2,2023,0,82.0,11630,346654
Disobedience,Drama,6.6,2017,0,114.0,35443,346721
The Darkest Minds,"Action,Adventure,Drama",5.7,2018,0,104.0,35762,346760
Black Bear,"Comedy,Drama",6.5,2020,0,104.0,15748,347907
Malik,"Action,Biography,Crime",8.0,2021,0,162.0,13787,348690
The Zookeeper's Wife,"Biography,Drama,History",7.0,2017,0,127.0,46099,348847
Cold Skin,"Action,Fantasy,Horror",6.0,2017,0,108.0,17815,348915
Shamshera,"Action,Adventure,Drama",4.7,2022,0,178.0,57140,349096
To Catch a Killer,"Action,Crime,Drama",6.6,2023,0,119.0,34863,349318
Pride and Prejudice and Zombies,"Action,Comedy,Fantasy",5.8,2016,0,108.0,59889,349605
Hustle,"Comedy,Drama,Sport",7.3,2022,0,117.0,141189,349819
A Man Called Otto,"Comedy,Drama",7.5,2022,0,126.0,151448,349875
Black Panther,"Action,Adventure,Sci-Fi",7.3,2018,0,134.0,829225,350251
Metal Lords,"Comedy,Music",6.7,2022,0,97.0,32269,350646
Going in Style,"Comedy,Crime",6.6,2017,0,96.0,90854,351287
The Good Neighbor,"Crime,Horror,Mystery",6.0,2022,0,106.0,12376,351359
Doctor Strange in the Multiverse of Madness,"Action,Adventure,Fantasy",6.9,2022,0,126.0,469253,351454
The Kashmir Files,Drama,8.6,2022,0,170.0,572790,351557
Ron's Gone Wrong,"Adventure,Animation,Comedy",7.0,2021,0,107.0,39676,352120
Ram Setu,"Action,Adventure",5.3,2022,0,140.0,17699,352235
Ferry,"Action,Crime,Drama",7.0,2021,0,106.0,12905,353455
Terminal,"Action,Comedy,Crime",5.3,2018,0,95.0,24994,353574
Animal,"Action,Crime,Drama",6.4,2023,0,204.0,76973,353907
Veronica,"Horror,Mystery",6.2,2017,0,105.0,46906,354048
Turning Red,"Adventure,Animation,Comedy",7.0,2022,0,100.0,148574,354095
Vesper,"Adventure,Drama,Sci-Fi",6.0,2022,0,114.0,21617,354278
Aniara,"Drama,Sci-Fi",6.3,2018,0,106.0,11248,354303
Men,"Drama,Fantasy,Horror",6.1,2022,0,100.0,58991,354688
