Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
The Vast of Night,"Drama,Mystery,Sci-Fi",6.7,2019,0,91.0,44253
Don't Let Go,"Drama,Horror,Mystery",6.4,2019,0,103.0,12667
Fast & Furious Presents: Hobbs & Shaw,"Action,Adventure,Thriller",6.5,2019,0,137.0,233140
The Kid Who Would Be King,"Action,Adventure,Family",6.1,2019,0,120.0,18455
Arctic,"Adventure,Drama",6.8,2018,0,98.0,57825
The Week Of,Comedy,5.2,2018,0,116.0,24355
Benedetta,"Biography,Drama,Romance",6.7,2021,0,131.0,24895
Glass,"Drama,Horror,Sci-Fi",6.6,2019,0,129.0,264048
Parmanu: The Story of Pokhran,"Action,Drama,History",7.6,2018,0,129.0,25130
Mr. Jones,"Biography,Drama,Thriller",6.9,2019,0,141.0,15777
Saaho,"Action,Thriller",5.0,2019,0,170.0,23033
Wild Mountain Thyme,"Comedy,Drama,Romance",5.7,2020,0,102.0,11672
Baaghi 2,"Action,Crime,Drama",4.8,2018,0,137.0,11552
Peppermint,"Action,Thriller",6.5,2018,0,101.0,70160
The King's Man,"Action,Adventure,Thriller",6.3,2021,0,131.0,170184
Us,"Horror,Mystery,Thriller",6.8,2019,0,116.0,336060
Book Club,"Comedy,Drama,Romance",6.1,2018,0,104.0,32140
Palmer,Drama,7.3,2021,0,110.0,42818
I Am Not an Easy Man,"Comedy,Fantasy,Romance",6.3,2018,0,98.0,15663
The Little Stranger,"Drama,Horror,Mystery",5.5,2018,0,111.0,10560
Shadow,"Action,Adventure,Fantasy",7.0,2018,0,116.0,17935
The Professor,"Comedy,Drama",6.7,2018,0,90.0,36543
The Hummingbird Project,"Drama,Thriller",6.2,2018,0,111.0,16119
A Taxi Driver,"Action,Drama,History",7.9,2017,0,137.0,30087
News of the World,"Action,Adventure,Drama",6.8,2020,0,118.0,94747
Vivegam,"Action,Thriller",5.2,2017,0,149.0,12836
Hidden Strike,"Action,Adventure,Comedy",5.3,2023,0,102.0,17767
Archive,"Drama,Mystery,Sci-Fi",6.4,2020,0,109.0,26048
The Girl in the Fog,"Crime,Drama,Mystery",6.8,2017,0,128.0,12859
Mirai,"Adventure,Animation,Drama",7.0,2018,0,98.0,17823
The Marksman,"Action,Drama,Thriller",5.7,2021,0,108.0,42572
Guns Akimbo,"Action,Comedy,Crime",6.3,2019,0,98.0,68821
Gloria Bell,"Comedy,Drama,Music",6.3,2018,0,102.0,12696
Manikarnika: The Queen of Jhansi,"Action,Biography,Drama",6.4,2019,0,148.0,16158
Slaughterhouse Rulez,"Action,Comedy,Fantasy",5.3,2018,0,104.0,16178
Retribution,"Action,Thriller",5.3,2023,0,91.0,17057
Mirage,"Drama,Fantasy,Mystery",7.4,2018,0,128.0,63322
Nothing to Lose,"Biography,Drama",2.4,2018,0,134.0,23106
Mamma Mia! Here We Go Again,"Comedy,Musical,Romance",6.6,2018,0,114.0,107140
Starfish,"Drama,Romance,Thriller",6.0,2023,0,121.0,19260
Journal 64,"Crime,Mystery,Thriller",7.4,2018,0,119.0,18945
Resident Evil: Welcome to Raccoon City,"Action,Horror,Sci-Fi",5.2,2021,0,107.0,62811
The Souvenir,"Drama,Romance",6.4,2019,0,120.0,14256
Johnny English Strikes Again,"Action,Adventure,Comedy",6.2,2018,0,89.0,82240
Midway,"Action,Drama,History",6.7,2019,0,138.0,93385
Kaala,"Action,Drama",6.5,2018,0,162.0,10228
The Boss Baby 2: Family Business,"Adventure,Animation,Comedy",5.9,2021,0,107.0,21981
At Eternity's Gate,"Biography,Drama,History",6.9,2018,0,111.0,39363
Tejas,"Action,Drama,Thriller",4.8,2023,0,112.0,22612
The Kindergarten Teacher,"Drama,Thriller",6.7,2018,0,96.0,17653
Little Italy,"Comedy,Romance",5.7,2018,0,102.0,17172
Green Book,"Biography,Comedy,Drama",8.2,2018,0,130.0,554872
Seeking True Love,"Comedy,Romance",7.5,2017,0,116.0,25505
The Mother,"Action,Thriller",5.6,2023,0,115.0,45723
Shubh Mangal Savdhan,"Comedy,Romance",6.9,2017,0,119.0,10986
Blackmail,"Comedy,Thriller",7.1,2018,0,138.0,11651
Good Boys,"Adventure,Comedy",6.7,2019,0,90.0,80873
Bharath Ane Nenu,"Action,Drama,Thriller",7.5,2018,0,173.0,18432
Destination Wedding,"Comedy,Drama,Romance",6.0,2018,0,87.0,33051
Kalank,"Drama,Romance",3.6,2019,0,166.0,16818
Crimea,"Action,Drama",3.6,2017,0,99.0,33597
Mandy,"Action,Fantasy,Horror",6.5,2018,0,121.0,88126
Boy Erased,"Biography,Drama",6.9,2018,0,115.0,41786
Eighth Grade,"Comedy,Drama",7.4,2018,0,93.0,81736
96,"Drama,Romance",8.5,2018,0,158.0,36342
Super Deluxe,"Comedy,Crime,Drama",8.3,2019,0,176.0,17246
