Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
24 Hours to Live,"Action,Sci-Fi,Thriller",5.8,2017,0,93.0,15968
Promising Young Woman,"Crime,Drama,Mystery",7.5,2020,0,113.0,207699
Love Today,"Comedy,Drama,Romance",8.0,2022,0,154.0,15188
American Made,"Action,Comedy,Crime",7.1,2017,0,115.0,205078
Colossal,"Comedy,Drama,Fantasy",6.2,2016,0,109.0,68598
Kedarnath,"Drama,Romance",6.7,2018,0,116.0,15036
The Half of It,"Comedy,Drama",6.9,2020,0,104.0,42737
Coming 2 America,"Comedy,Music",5.3,2021,0,110.0,74799
Color Out of Space,"Horror,Mystery,Sci-Fi",6.2,2019,0,111.0,55288
"Crouching Tiger, Hidden Dragon: Sword of Destiny","Action,Adventure,Drama",6.1,2016,0,96.0,20770
Bhediya,"Comedy,Fantasy,Horror",6.8,2022,0,156.0,24395
Paterson,"Comedy,Drama,Romance",7.3,2016,0,118.0,88077
Stuber,"Action,Comedy,Crime",6.2,2019,0,93.0,50985
Love Aaj Kal,"Drama,Romance",4.7,2020,0,142.0,10409
David Attenborough: A Life on Our Planet,"Biography,Documentary",8.9,2020,0,83.0,34285
First Kill,"Action,Thriller",5.0,2017,0,97.0,12365
A Dog's Way Home,"Adventure,Drama,Family",6.7,2019,0,96.0,19885
Mary and the Witch's Flower,"Adventure,Animation,Family",6.8,2017,0,103.0,15869
Official Competition,"Comedy,Drama",7.0,2021,0,115.0,14210
The Shape of Water,"Drama,Fantasy,Romance",7.3,2017,0,123.0,443781
Deadstream,"Comedy,Horror",6.4,2022,0,87.0,16728
It's Only the End of the World,Drama,6.8,2016,0,97.0,25013
All the Money in the World,"Crime,Drama,History",6.8,2017,0,132.0,90301
The Kindergarten Teacher,"Drama,Thriller",6.7,2018,0,96.0,17653
Fresh,"Horror,Thriller",6.7,2022,0,114.0,71945
Blackmail,"Comedy,Thriller",7.1,2018,0,138.0,11651
The Hurricane Heist,"Action,Adventure,Crime",5.1,2018,0,103.0,22172
Churchill,"Biography,Drama,History",6.0,2017,0,105.0,15703
After,"Drama,Romance",5.3,2019,0,105.0,64409
47 Meters Down: Uncaged,"Adventure,Drama,Horror",5.0,2019,0,90.0,30418
xXx: Return of Xander Cage,"Action,Adventure,Thriller",5.2,2017,0,107.0,96654
Thunder Force,"Action,Adventure,Comedy",4.5,2021,0,106.0,45117
Sairat,"Drama,Romance",8.3,2016,0,174.0,14693
Terrified,Horror,6.5,2017,0,87.0,21498
Awake,"Action,Adventure,Drama",4.9,2021,0,96.0,25708
Blood Red Sky,"Action,Drama,Horror",6.1,2021,0,121.0,54073
Sonic the Hedgehog,"Action,Adventure,Comedy",6.5,2020,0,99.0,156755
Gadar 2,"Action,Adventure,Drama",5.2,2023,0,170.0,21972
Kaithi,"Action,Crime,Thriller",8.4,2019,0,145.0,41702
Mile 22,"Action,Thriller",6.1,2018,0,94.0,86084
God's Not Dead 2,"Drama,Fantasy",4.3,2016,0,120.0,13346
Schumacher,"Biography,Documentary,Sport",7.4,2021,0,112.0,24970
Carrie Pilby,"Comedy,Drama",6.7,2016,0,98.0,13591
The Collini Case,"Crime,Drama,Thriller",7.3,2019,0,123.0,12559
Voice from the Stone,"Drama,Mystery,Thriller",5.2,2017,0,94.0,12101
Kantara,"Action,Adventure,Drama",8.2,2022,0,148.0,101948
Sadak 2,"Action,Drama",1.2,2020,0,133.0,96613
The Distinguished Citizen,"Comedy,Drama",7.5,2016,0,118.0,13218
Roma,Drama,7.7,2018,0,135.0,168427
The 355,"Action,Thriller",5.6,2022,0,122.0,36798
