Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Shirley,"Biography,Drama,Horror",6.1,2020,0,107.0,13099
The Shack,"Drama,Fantasy",6.3,2017,0,132.0,38828
The Command,"Action,Adventure,Drama",6.6,2018,0,117.0,21177
West Side Story,"Crime,Drama,Musical",7.1,2021,0,156.0,94059
The Boy and the Heron,"Adventure,Animation,Drama",7.6,2023,0,124.0,40569
Sound of Metal,"Drama,Music",7.7,2019,0,120.0,147644
Rough Night,Comedy,5.2,2017,0,101.0,55414
Justice League,"Action,Adventure,Fantasy",6.1,2017,0,120.0,475542
The Kid Who Would Be King,"Action,Adventure,Family",6.1,2019,0,120.0,18455
Last Flag Flying,"Comedy,Drama,War",6.9,2017,0,125.0,27923
Resurrection,"Crime,Drama,Horror",5.9,2022,0,103.0,11411
Afterlife of the Party,"Comedy,Drama,Fantasy",5.8,2021,0,109.0,10489
The Unknown Girl,"Crime,Drama,Mystery",6.5,2016,0,113.0,10263
Run,"Mystery,Thriller",6.7,2020,0,90.0,93919
Phantom Thread,"Drama,Romance",7.4,2017,0,130.0,143782
"Where'd You Go, Bernadette","Comedy,Crime,Drama",6.5,2019,0,109.0,24443
Fan,"Action,Drama,Thriller",6.9,2016,0,138.0,49242
Occupation,"Action,Drama,Sci-Fi",4.5,2018,0,119.0,17195
Pad Man,"Comedy,Drama",7.9,2018,0,140.0,28729
Captive State,"Action,Horror,Sci-Fi",6.0,2019,0,109.0,57098
Bohemian Rhapsody,"Biography,Drama,Music",7.9,2018,0,134.0,583794
Please Stand By,"Comedy,Drama",6.7,2017,0,93.0,15062
Liger,"Action,Drama,Romance",2.7,2022,0,140.0,47219
Deep Water,"Drama,Mystery,Thriller",5.5,2022,0,115.0,55961
Christopher Robin,"Adventure,Comedy,Drama",7.2,2018,0,104.0,83821
Badhaai Ho,"Comedy,Drama",7.9,2018,0,124.0,37762
Rebel Moon: Part One - A Child of Fire,"Action,Adventure,Drama",5.6,2023,0,133.0,95998
My Son,"Crime,Drama,Mystery",6.0,2021,0,95.0,14300
Abducted in Plain Sight,"Crime,Documentary",6.8,2017,0,91.0,21909
Drishyam 2,"Crime,Drama,Mystery",8.2,2022,0,140.0,43470
Don't Breathe 2,"Action,Crime,Horror",6.0,2021,0,98.0,70288
An American Pickle,"Comedy,Fantasy",5.7,2020,0,88.0,26224
Dhuruvangal Pathinaaru,"Crime,Drama,Mystery",8.2,2016,0,105.0,16778
The Light Between Oceans,"Drama,Romance",7.2,2016,0,133.0,59753
The Flash,"Action,Adventure,Fantasy",6.7,2023,0,144.0,201276
Nyad,"Biography,Drama,Sport",7.1,2023,0,121.0,23809
Songbird,"Drama,Sci-Fi,Thriller",4.8,2020,0,84.0,11488
Cumali Ceber: Allah Seni Alsin,Comedy,1.0,2017,0,100.0,39283
The Pope's Exorcist,"Horror,Thriller",6.1,2023,0,103.0,79699
Licorice Pizza,"Comedy,Drama,Romance",7.1,2021,0,133.0,138261
The Invisible Man,"Drama,Horror,Mystery",7.1,2020,0,124.0,251457
Logan Lucky,"Action,Comedy,Crime",7.0,2017,0,118.0,160863
The Killer,"Action,Adventure,Crime",6.7,2023,0,118.0,168861
Dangerous Lies,"Crime,Mystery,Thriller",5.3,2020,0,96.0,18472
Aquaman,"Action,Adventure,Fantasy",6.8,2018,0,143.0,514511
Simmba,"Action,Crime,Drama",5.5,2018,0,158.0,21872
Kapoor & Sons,"Comedy,Drama,Family",7.7,2016,0,132.0,28242
Ala Vaikunthapurramuloo,"Action,Comedy,Drama",7.3,2020,0,163.0,23174
Bottoms,Comedy,6.8,2023,0,91.0,32871
Ammonite,"Biography,Drama,History",6.5,2020,0,117.0,22622
