Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Good on Paper,"Comedy,Romance",5.6,2021,0,92.0,13748
Extra Ordinary,"Comedy,Fantasy,Horror",6.4,2019,0,94.0,11415
The Report,"Biography,Crime,Drama",7.2,2019,0,119.0,49813
Tumbbad,"Drama,Fantasy,Horror",8.2,2018,0,104.0,57972
My Spy,"Action,Comedy",6.3,2020,0,99.0,34054
The Hunt,"Action,Horror,Thriller",6.5,2020,0,90.0,126675
Girl,Drama,7.2,2018,0,105.0,16876
Fantastic Fungi,Documentary,7.4,2019,0,81.0,11282
The Holiday Calendar,"Drama,Fantasy,Romance",5.7,2018,0,95.0,11436
Blinded by the Light,"Comedy,Drama,Music",6.9,2019,0,118.0,27085
Capernaum,Drama,8.4,2018,0,126.0,103003
Vakeel Saab,"Action,Crime,Drama",6.9,2021,0,153.0,12308
Uri: The Surgical Strike,"Action,Drama,History",8.2,2019,0,138.0,71329
Pain and Glory,Drama,7.5,2019,0,113.0,62574
You Won't Be Alone,"Drama,Fantasy,Horror",6.4,2022,0,108.0,10661
Blow the Man Down,"Comedy,Crime,Drama",6.4,2019,0,91.0,11955
The Wretched,"Horror,Mystery,Thriller",5.8,2019,0,95.0,19495
Bruised,"Drama,Sport",6.2,2020,0,129.0,15885
Jerry and Marge Go Large,"Biography,Comedy,Drama",6.9,2022,0,96.0,22965
A Quiet Place Part II,"Drama,Horror,Sci-Fi",7.2,2020,0,97.0,267137
Pinocchio,"Drama,Family,Fantasy",6.3,2019,0,125.0,14545
Chicken Run: Dawn of the Nugget,"Adventure,Animation,Comedy",6.4,2023,0,98.0,19535
The Nest,"Drama,Romance,Thriller",6.3,2020,0,107.0,17636
Annabelle Comes Home,"Horror,Mystery,Thriller",5.9,2019,0,106.0,85930
The 355,"Action,Thriller",5.6,2022,0,122.0,36798
Sorry We Missed You,Drama,7.6,2019,0,101.0,25424
Climax,"Drama,Horror,Music",6.9,2018,0,97.0,78090
Cam,"Drama,Horror,Mystery",5.9,2018,0,94.0,35707
Crawl,"Action,Adventure,Horror",6.1,2019,0,87.0,92954
Baaghi 3,"Action,Adventure,Thriller",2.2,2020,0,143.0,13733
The Gentlemen,"Action,Crime",7.8,2019,0,113.0,383742
Vivarium,"Horror,Mystery,Sci-Fi",5.9,2019,0,97.0,72253
Gunpowder Milkshake,"Action,Crime,Thriller",6.1,2021,0,114.0,50389
The Courier,"Drama,History,Mystery",7.2,2020,0,112.0,72076
Swallow,"Drama,Thriller",6.5,2019,0,94.0,27784
About My Father,Comedy,5.7,2023,0,90.0,12195
Peter Rabbit 2: The Runaway,"Adventure,Animation,Comedy",6.2,2021,0,93.0,14295
Queen of Hearts,Drama,7.0,2019,0,127.0,14120
Hitman's Wife's Bodyguard,"Action,Comedy,Crime",6.1,2021,0,100.0,105980
A Dog's Journey,"Adventure,Comedy,Drama",7.4,2019,0,109.0,28152
Memoria,"Drama,Mystery,Sci-Fi",6.5,2021,0,136.0,10898
Babyteeth,"Comedy,Drama,Music",7.2,2019,0,118.0,18720
Killers Anonymous,"Action,Crime,Mystery",4.0,2019,0,95.0,10299
Cumali Ceber 2,Comedy,1.2,2018,0,100.0,10264
Snake Eyes,"Action,Adventure,Crime",5.4,2021,0,121.0,43982
The Two Popes,"Biography,Comedy,Drama",7.6,2019,0,125.0,131823
Kumbalangi Nights,"Comedy,Drama,Romance",8.5,2019,0,135.0,17184
Shamshera,"Action,Adventure,Drama",4.7,2022,0,178.0,57140
Flee,"Animation,Biography,Documentary",7.9,2021,0,89.0,19205
Shirley,"Biography,Drama,Horror",6.1,2020,0,107.0,13099
A Dark Foe,"Crime,Drama,Horror",4.1,2020,0,114.0,11784
Lust Stories,"Drama,Romance",6.4,2018,0,120.0,13074
Money Trap,"Comedy,Drama",6.0,2019,0,121.0,15998
Karakomik Filmler: 2 Arada,"Comedy,Drama",6.4,2019,0,60.0,13499
The Tax Collector,"Action,Crime,Drama",4.8,2020,0,95.0,15195
The Room,"Drama,Fantasy,Horror",6.0,2019,0,100.0,23306
The Inventor: Out for Blood in Silicon Valley,"Crime,Documentary",7.2,2019,0,119.0,15002
Hamilton,"Biography,Drama,History",8.3,2020,0,160.0,110831
Good Newwz,"Comedy,Drama",6.8,2019,0,134.0,21815
His House,"Drama,Horror,Thriller",6.5,2020,0,93.0,47735
Holiday in the Wild,"Comedy,Drama,Romance",6.2,2019,0,85.0,17147
The United States vs. Billie Holiday,"Biography,Drama,Music",6.3,2021,0,126.0,14512
Yes Day,"Comedy,Family",5.7,2021,0,86.0,29449
Happiest Season,"Comedy,Romance",6.6,2020,0,102.0,46936
Dolemite Is My Name,"Biography,Comedy,Drama",7.2,2019,0,118.0,64512
System Crasher,Drama,7.8,2019,0,125.0,14529
