Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
The Way Back,"Drama,Sport",6.7,2020,0,108.0,52107
Pleasure,Drama,6.4,2021,0,109.0,21810
The Witch: Part 1 - The Subversion,"Action,Mystery,Sci-Fi",7.1,2018,0,125.0,16944
1917,"Action,Drama,War",8.2,2019,0,119.0,662692
Eurovision Song Contest: The Story of Fire Saga,"Comedy,Music",6.5,2020,0,123.0,101338
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Action,Adventure,Animation",7.2,2023,0,99.0,57873
Geetha Govindam,"Comedy,Drama,Romance",7.7,2018,0,142.0,15368
Adverse,"Crime,Thriller",4.3,2020,0,94.0,16179
Portrait of a Lady on Fire,"Drama,Romance",8.1,2019,0,122.0,107038
Occupation: Rainfall,"Action,Sci-Fi",4.7,2020,0,128.0,15299
Last Christmas,"Comedy,Drama,Fantasy",6.5,2019,0,103.0,89852
Spenser Confidential,"Action,Comedy,Crime",6.2,2020,0,111.0,96530
Fahrenheit 11/9,Documentary,7.2,2018,0,128.0,20284
"Quo Vadis, Aida?","Drama,History,War",8.0,2020,0,101.0,37639
After Yang,"Drama,Sci-Fi",6.7,2021,0,96.0,22242
Run,"Mystery,Thriller",6.7,2020,0,90.0,93919
The Farewell,"Comedy,Drama",7.5,2019,0,100.0,70107
Corpus Christi,Drama,7.7,2019,0,115.0,21581
Waves,"Drama,Romance,Sport",7.5,2019,0,135.0,29664
The Specials,"Comedy,Drama",7.4,2019,0,114.0,10944
Child's Play,"Drama,Horror,Sci-Fi",5.7,2019,0,90.0,55893
The Blackout,"Action,Sci-Fi,Thriller",6.0,2019,0,127.0,10516
Tu Jhoothi Main Makkaar,"Comedy,Romance",6.0,2023,0,150.0,26859
21 Bridges,"Action,Adventure,Crime",6.6,2019,0,99.0,73190
The Dead Don't Die,"Comedy,Fantasy,Horror",5.5,2019,0,104.0,84637
Can You Keep a Secret?,"Comedy,Romance",5.4,2019,0,94.0,20536
A Christmas Prince: The Royal Wedding,"Comedy,Drama,Romance",5.3,2018,0,92.0,11916
The Hating Game,"Comedy,Romance",6.2,2021,0,102.0,25140
"tick, tick... BOOM!","Biography,Comedy,Drama",7.5,2021,0,115.0,118073
Queen & Slim,"Crime,Drama,Romance",7.1,2019,0,132.0,34361
Toma,"Biography,Drama,Music",8.7,2021,0,140.0,12192
The Collini Case,"Crime,Drama,Thriller",7.3,2019,0,123.0,12559
See You Yesterday,"Action,Adventure,Crime",5.3,2019,0,84.0,11542
The Swimmers,"Biography,Drama,Sport",7.4,2022,0,134.0,35167
Chaman Bahaar,"Comedy,Drama",6.9,2020,0,111.0,10905
Sergio,"Biography,Drama,History",6.2,2020,0,118.0,10846
Justice League vs the Fatal Five,"Action,Animation,Fantasy",6.5,2019,0,77.0,10432
Apollo 11,"Documentary,History",8.1,2019,0,93.0,27002
M3GAN,"Horror,Sci-Fi,Thriller",6.4,2022,0,102.0,138236
Midsommar,"Drama,Horror,Mystery",7.1,2019,0,148.0,390995
Freaks,"Drama,Mystery,Sci-Fi",6.7,2018,0,105.0,39676
Ava,"Action,Drama,Thriller",5.5,2020,0,96.0,61902
Come to Daddy,"Comedy,Horror,Mystery",6.0,2019,0,96.0,20172
T-34,"Action,War",6.8,2018,0,139.0,14084
Fatale,"Drama,Mystery,Romance",5.4,2020,0,102.0,14006
Avengement,"Action,Crime",6.6,2019,0,87.0,20182
The French Dispatch,"Comedy,Drama,Romance",7.1,2021,0,107.0,147777
Peninsula,"Action,Horror,Thriller",5.5,2020,0,116.0,37232
The Lovebirds,"Action,Comedy,Crime",6.1,2020,0,86.0,27584
Guava Island,"Comedy,Drama,Music",6.6,2019,0,55.0,11652
Karakomik Filmler: Kaçamak,"Adventure,Comedy,Fantasy",5.5,2019,0,60.0,10540
Batla House,"Action,Crime,Drama",7.2,2019,0,146.0,12478
Medieval,"Action,Drama,History",5.9,2022,0,125.0,12148
Passing,"Drama,Mystery,Thriller",6.7,2021,0,98.0,16369
Angrezi Medium,"Comedy,Drama",7.2,2020,0,145.0,17640
The Girl on the Train,"Crime,Drama,Mystery",4.0,2021,0,120.0,14992
Luka Chuppi,"Comedy,Romance",6.4,2019,0,126.0,13091
DC League of Super-Pets,"Action,Adventure,Animation",7.1,2022,0,105.0,74574
Extraction,"Action,Thriller",6.8,2020,0,116.0,258872
Knives Out,"Comedy,Crime,Drama",7.9,2019,0,130.0,762189
Jersey,"Drama,Sport",8.5,2019,0,157.0,21904
"Yes, God, Yes","Comedy,Drama",6.1,2019,0,78.0,17503
The Princess Switch,"Comedy,Drama,Family",6.1,2018,0,101.0,31162
Petta,"Action,Drama",7.1,2019,0,171.0,11779
Radhe Shyam,"Drama,Romance",5.2,2022,0,138.0,31555
And Then We Danced,"Drama,Romance",7.6,2019,0,113.0,14192
