Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Migration,"Action,Adventure,Animation",6.7,2023,0,83.0,12611
Action Point,Comedy,5.1,2018,0,85.0,12139
Upgrade,"Action,Sci-Fi,Thriller",7.5,2018,0,100.0,203864
The Colony,"Action,Adventure,Sci-Fi",5.4,2021,0,104.0,12127
Ghosts of War,"Fantasy,Horror,Thriller",5.6,2020,0,94.0,11830
The Beach Bum,Comedy,5.5,2019,0,95.0,24565
Fighting with My Family,"Biography,Comedy,Drama",7.1,2019,0,108.0,86793
Escape Plan 2: Hades,"Action,Crime,Mystery",3.9,2018,0,96.0,34902
Jay and Silent Bob Reboot,"Action,Adventure,Comedy",5.6,2019,0,105.0,28002
Spyder,"Action,Crime,Thriller",6.3,2017,0,155.0,11211
The Quake,"Action,Drama,Thriller",6.2,2018,0,106.0,14262
Zero,"Action,Comedy,Drama",5.2,2018,0,164.0,30186
Knights of the Zodiac,"Action,Adventure,Drama",4.4,2023,0,112.0,12001
Night Hunter,"Action,Thriller",5.9,2018,0,98.0,26494
Haunt,"Horror,Thriller",6.3,2019,0,92.0,35996
Salyut-7,"Action,Drama,History",7.2,2017,0,111.0,12118
Cold War,"Drama,Music,Romance",7.5,2018,0,89.0,61419
Batman and Harley Quinn,"Action,Adventure,Animation",5.9,2017,0,74.0,15023
Dark Phoenix,"Action,Adventure,Sci-Fi",5.7,2019,0,113.0,202237
Fear Street: Part One - 1994,"Drama,Horror,Mystery",6.2,2021,0,107.0,92673
The White Tiger,"Crime,Drama",7.1,2021,0,125.0,64915
The Boy and the Heron,"Adventure,Animation,Drama",7.6,2023,0,124.0,40569
Trolls World Tour,"Adventure,Animation,Comedy",6.1,2020,0,91.0,28173
Hichki,"Comedy,Drama",7.5,2018,0,116.0,13667
Life in a Year,"Drama,Romance",6.2,2020,0,107.0,10493
Rust Creek,"Action,Crime,Drama",5.9,2018,0,108.0,12760
The Wild Pear Tree,Drama,8.0,2018,0,188.0,27400
Bad Times at the El Royale,"Crime,Drama,Mystery",7.1,2018,0,141.0,163012
Triple Threat,"Action,Thriller",5.6,2019,0,96.0,12465
A Quiet Place,"Drama,Horror,Sci-Fi",7.5,2018,0,90.0,575001
Infinite,"Action,Sci-Fi,Thriller",5.5,2021,0,106.0,60020
The Spy Who Dumped Me,"Action,Adventure,Comedy",6.0,2018,0,117.0,82443
Dolittle,"Adventure,Comedy,Family",5.6,2020,0,101.0,70378
Transit,"Drama,Sci-Fi",6.9,2018,0,101.0,11666
Outlaw King,"Action,Biography,Drama",6.9,2018,0,121.0,79867
Acts of Violence,"Action,Crime,Thriller",5.3,2018,0,86.0,13269
Ittefaq,"Crime,Mystery,Thriller",7.2,2017,0,105.0,14163
Arif V 216,"Comedy,Fantasy,Music",7.0,2018,0,125.0,38777
The Photographer of Mauthausen,"Biography,Drama,History",6.7,2018,0,110.0,12339
Black Crab,"Action,Adventure,Drama",5.7,2022,0,114.0,25856
Everything Everywhere All at Once,"Action,Adventure,Comedy",7.8,2022,0,139.0,513726
The Super Mario Bros. Movie,"Adventure,Animation,Comedy",7.0,2023,0,92.0,228006
The Intruder,"Horror,Thriller",5.6,2019,0,102.0,19444
Fast Charlie,"Action,Crime,Drama",6.2,2023,0,90.0,12578
Tenet,"Action,Sci-Fi,Thriller",7.3,2020,0,150.0,579444
Revenge,"Action,Drama,Horror",6.4,2017,0,108.0,47650
The Guilty,"Crime,Drama,Thriller",7.5,2018,0,85.0,63771
Exit 0,Thriller,5.4,2019,0,95.0,18620
Parasite,"Drama,Thriller",8.5,2019,0,132.0,932686
Happy as Lazzaro,"Drama,Fantasy,Mystery",7.5,2018,0,128.0,20192
Wasp Network,"Crime,Drama,Thriller",5.9,2019,0,127.0,11800
The Captain,"Drama,History,Thriller",7.3,2017,0,118.0,21156
Dogman,"Crime,Drama,Thriller",7.2,2018,0,103.0,29320
Hillbilly Elegy,Drama,6.7,2020,0,116.0,45877
Escape Plan: The Extractors,"Action,Crime,Thriller",4.4,2019,0,97.0,16675
Truth or Dare,"Horror,Thriller",5.2,2018,0,100.0,62514
Occupation,"Action,Drama,Sci-Fi",4.5,2018,0,119.0,17195
The Villainess,"Action,Crime,Drama",6.6,2017,0,124.0,16572
Night School,Comedy,5.6,2018,0,111.0,44036
Bad Genius,"Comedy,Crime,Drama",7.6,2017,0,130.0,23098
I Feel Pretty,"Comedy,Romance",5.6,2018,0,110.0,56784
Guardians of the Galaxy Vol. 3,"Action,Adventure,Comedy",7.9,2023,0,150.0,367639
A Twelve-Year Night,"Adventure,Biography,Crime",7.5,2018,0,122.0,10853
Champions,"Comedy,Drama,Family",7.2,2018,0,124.0,11684
The 15:17 to Paris,"Biography,Drama,Thriller",5.3,2018,0,94.0,35341
Coming 2 America,"Comedy,Music",5.3,2021,0,110.0,74799
